Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000054818	0	0	0	0	1	0	2	0	0	0	3
ENSGALG00000053455	0	15	0	24	1	34	3	0	0	9	12
ENSGALG00000045540	302	261	258	373	352	467	486	656	766	1194	762
ENSGALG00000051297	488	427	441	521	584	496	666	804	744	1624	924
ENSGALG00000042023	749	692	691	830	840	895	931	1124	1388	2546	1467
ENSGALG00000047594	83	139	122	106	112	82	52	98	133	166	134
ENSGALG00000049206	90	94	123	99	93	61	74	95	112	187	130
ENSGALG00000029624	88	109	211	184	198	233	222	182	276	399	303
ENSGALG00000038527	33	26	58	27	12	10	13	30	18	39	28
ENSGALG00000052679	40	35	28	39	38	14	58	17	5	25	31
ENSGALG00000046962	1	5	10	18	12	16	13	11	7	4	14
ENSGALG00000042611	466	494	636	472	774	696	585	645	677	1051	668
ENSGALG00000048560	2	9	9	9	13	16	8	9	9	17	18
ENSGALG00000050315	1122	1196	998	1019	1620	1526	1315	1677	1618	2597	1736
ENSGALG00000048857	8	13	8	25	30	23	7	19	18	20	35
ENSGALG00000049873	96	144	178	181	188	274	275	232	140	259	294
ENSGALG00000053510	199	182	54	65	245	271	94	128	267	151	121
ENSGALG00000050833	9	21	11	8	19	31	27	17	20	17	21
ENSGALG00000051677	39	37	7	20	51	47	14	29	35	15	18
ENSGALG00000031626	1	4	3	0	3	5	6	0	2	0	3
ENSGALG00000041494	3052	4246	2245	3153	6508	3199	4315	3594	3377	2719	2915
ENSGALG00000039682	8	9	10	43	8	4	50	17	27	29	53
ENSGALG00000038044	96	33	153	128	51	12	162	155	34	144	95
ENSGALG00000032458	254	320	729	525	271	257	387	502	257	342	431
ENSGALG00000047768	0	0	2	1	0	0	0	0	0	8	5
ENSGALG00000035824	98	98	95	113	302	249	318	168	349	290	185
ENSGALG00000034366	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000050523	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000033919	39	33	31	54	24	10	46	37	12	73	27
ENSGALG00000034440	0	0	0	0	0	0	1	1	0	0	2
ENSGALG00000038707	1	1	0	0	0	0	0	0	0	0	0
ENSGALG00000051055	5	7	2	3	5	8	2	10	0	9	3
ENSGALG00000052929	1	1	3	7	0	2	8	8	0	3	6
ENSGALG00000054904	0	0	0	0	0	0	1	0	0	0	0
ENSGALG00000053146	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000051631	0	0	0	0	0	0	0	1	0	0	0
ENSGALG00000047599	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000054762	0	0	0	0	0	0	0	0	1	0	0
ENSGALG00000053751	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000046797	16	20	8	27	24	34	44	9	17	18	52
ENSGALG00000050267	17	8	12	16	29	26	18	20	12	21	24
ENSGALG00000047194	3	0	1	3	0	9	4	2	1	5	7
ENSGALG00000048328	10	4	0	1	2	4	5	2	8	14	4
ENSGALG00000031473	4	11	2	7	2	0	17	6	1	8	4
ENSGALG00000054662	10	1	2	0	1	1	0	0	0	0	0
ENSGALG00000048059	1	2	3	1	0	2	2	5	0	0	2
ENSGALG00000053846	37	10	6	27	23	62	14	18	51	41	14
ENSGALG00000048724	5	3	2	4	1	2	1	0	3	4	1
ENSGALG00000054163	25	13	31	98	12	9	74	15	7	68	49
ENSGALG00000051962	2	3	0	10	3	3	10	8	3	8	8
ENSGALG00000047166	14	16	7	5	11	14	7	16	11	15	11
ENSGALG00000048258	24	12	29	10	36	23	22	19	0	31	20
ENSGALG00000054512	2	3	7	8	2	4	7	6	2	7	8
ENSGALG00000050846	3	6	1	2	1	0	1	0	0	7	1
ENSGALG00000053334	0	1	0	0	0	0	4	0	0	0	0
ENSGALG00000034086	0	2	1	0	0	0	3	0	0	0	6
ENSGALG00000051114	0	2	0	2	0	0	2	0	0	0	0
ENSGALG00000054903	4	3	3	2	6	0	4	0	1	9	4
ENSGALG00000050519	0	1	0	0	0	0	0	0	0	0	1
ENSGALG00000049223	0	0	2	3	2	0	0	0	1	7	3
ENSGALG00000048878	0	0	0	2	5	1	1	0	0	0	0
ENSGALG00000049687	0	0	0	0	4	0	0	0	0	0	0
ENSGALG00000053590	5	4	2	3	2	11	2	5	4	3	3
ENSGALG00000054297	0	7	2	14	2	6	3	4	1	12	2
ENSGALG00000049264	111	102	256	163	107	48	184	250	81	460	227
ENSGALG00000043476	24	21	115	45	30	8	58	159	9	104	86
ENSGALG00000033149	143	202	122	181	243	150	196	96	161	195	145
ENSGALG00000043771	93	141	131	115	157	189	182	142	92	112	156
ENSGALG00000029341	323	385	268	257	275	117	300	186	134	187	219
ENSGALG00000035085	1	0	0	0	0	1	2	0	0	0	0
ENSGALG00000043178	137	174	122	73	148	82	185	78	55	142	59
ENSGALG00000041965	0	0	1	1	1	3	1	0	0	0	1
ENSGALG00000041528	22	51	49	36	33	33	86	51	56	68	112
ENSGALG00000054793	337	433	543	472	291	388	514	677	348	650	827
ENSGALG00000046885	14	22	76	47	33	23	52	65	32	150	60
ENSGALG00000039982	1	3	7	8	6	20	19	8	1	13	18
ENSGALG00000039420	21	48	5	42	39	83	33	10	84	26	50
ENSGALG00000051854	23	55	284	215	54	41	148	129	43	243	284
ENSGALG00000036114	139	139	294	303	176	120	275	219	129	579	374
ENSGALG00000032868	432	1052	734	665	1103	722	1358	1179	517	933	766
ENSGALG00000038520	199	245	163	280	184	264	419	267	99	78	125
ENSGALG00000047596	107	152	349	212	132	88	358	327	82	213	171
ENSGALG00000040060	4053	3483	2427	2556	4504	2819	2686	2280	2313	3577	2789
ENSGALG00000054860	0	0	0	0	5	0	0	0	0	0	0
ENSGALG00000048065	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000024492	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000031975	1650	1935	1826	2073	3248	1847	3032	2632	2076	5806	3768
ENSGALG00000008003	117	280	159	154	256	630	254	283	389	420	311
ENSGALG00000027129	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000008013	96	98	64	60	119	113	82	146	65	49	88
ENSGALG00000028816	4	1	0	0	4	5	11	0	2	6	0
ENSGALG00000036140	12	11	3	18	4	12	3	1	11	13	14
ENSGALG00000008036	3404	4320	2854	3945	6811	6570	4759	5868	4815	2671	3689
ENSGALG00000008048	0	1	0	10	0	0	0	0	0	3	9
ENSGALG00000027296	0	0	0	6	0	0	0	0	0	0	0
ENSGALG00000008087	11	11	0	2	17	20	29	0	1	11	5
