Gene_ID,PSM_Rep1,PSM_Rep2,PSM_Rep3,ES_Rep1,ES_Rep2,ES_Rep3,MS_Rep1,MS_Rep2,MS_Rep3,DS_Rep1,DS_Rep2,DS_Rep3
ENSGALG00000000003,181.4885,186.173,201.4626,289.487,252.097,204.6125,345.613,248.6136,299.3838,327.7492,359.1845,359.2476
ENSGALG00000000004,438.22,444.787,345.126,381.918,473.427,441.37,505.755,549.095,498.334,300.811,476.021,466.03
ENSGALG00000000011,557.912,589.484,538.174,673.274,693.062,793.485,788.44,602.672,731.764,566.96,725.644,738.462
ENSGALG00000000038,0,0,0,0,0,0,0,1,0,0,0,0
ENSGALG00000000044,456.37,795,278.864,1375,756.681,1594,641.848,1322,1418,1256.91,239.784,1277
ENSGALG00000000048,53.62295,45.7177,47.00485,42.5842,47.12365,63.7996,60.5828,40.8127,67.13504,50.16166,58.68637,80.7078
ENSGALG00000000055,1537.9993,1604.0029,1252.99957,1498.9837,1260.9907,1504.9541,1490.988725,1196.9897,1458.0012,1498.9953,1371.9929,1339.9861
ENSGALG00000000059,1708.4231,1440.3508,1673.0553,1674.8319,1386.219,1784.0863,1555.5055,1473.2886,1620.8223,2377.6439,1823.2493,1751.6491
ENSGALG00000000067,612.324,528.854,541.027,541.475,459.901,577.45,557.435,478.017,511.099,559.377,533.075,551.035
ENSGALG00000000071,155.6694,156.935,89.7093,110.477,120.8582,107.646,125.5188,120.507,122.4842,91.02245664,154.3174,111.677
ENSGALG00000000081,0,0,0,0,0,0,0,3,5,2,3,0
ENSGALG00000000086,1861.01,2333.124,2035.97,2105.72,2395.414,2722.3,2580.257,2179.90167,2446.26,2038.3549,2238.93,2284.497935
ENSGALG00000000091,1359.42,1336.96,1215.54,1357.77,1369.97,1426.25,1434.49,1210.85,1545.53,1254.15,1396.22,1451.51
ENSGALG00000000094,649,615.428,580,688,588,707.002,673,592,801.657,534.603,653,703
ENSGALG00000000102,646.83,698,657,765.996,673.147,926,847,760,861.355,757.998,836,818
ENSGALG00000000104,16.7688,20.0662,13.3691,7.68942,13.3669,4.63113,9.84607,4.98519,12.9059,12.5016,20.5037,8.28755
ENSGALG00000000106,635.612,750.12,685.576,602.092,844.29,968.121,862.336,871.267,844.012,548.675,828.836,928.113
ENSGALG00000000107,0,0.000349225,0,0,0,0,0,0,0,0,3.93032,0
ENSGALG00000000109,201.844,183.411,211.368,203.149,211.17,248.069,211.462,144.627,236.525,290.788,238.406,203.993
ENSGALG00000000112,2,0,3,2,0,3,3,7,8.38337,6.51796,8,7
ENSGALG00000000115,2,0,1,3,4,1.38238,0,0,1,3.97265,0,0
ENSGALG00000000120,0,0,0,1,0,0,0,0,0,1,0,0
ENSGALG00000000122,26389.9784,22666.8885,28336.0453,24255.96323,21908.01233,25851.9773,24408.70011,22796.94928,25926.99286,27728.83777,24287.9505,24488.3858
ENSGALG00000000123,0,0,1,0,0,1,0,0,0,0,1,0
ENSGALG00000000129,597.08,477.2987,542.7174638,572.0311,450.1646,498.7,522.8924,418.7438284,588.5581,558.2510572,512.381,507.7624
