"","Gene id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ES_Rep1","ES_Rep2","ES_Rep3","MS_Rep1","MS_Rep2","MS_Rep3"
"1","ENSGALG00000006374",282.140740792547,-3.22957363436932,0.358497724514327,-9.00863077651211,2.08645069502914e-19,3.01074835292705e-15,752.870737728096,510.585153362367,266.587522078195,62.9814819605255,41.2215376738936,58.5980119522034
"2","ENSGALG00000011270",275.170261958272,3.54090477316344,0.411094928844299,8.61335065143686,7.09556440044517e-18,5.11944971492119e-14,21.0299088750865,33.1132630841703,75.6532157248932,323.627922689469,653.202827755545,544.394433620471
"3","ENSGALG00000012906",240.181616182641,-2.27914792555025,0.271461547104398,-8.39584077325599,4.62572148350972e-17,2.22497203356818e-13,346.993496438927,544.766586223446,303.513496420107,78.4846159815779,71.8734503031991,95.4580517285895
"4","ENSGALG00000011288",4586.31798802942,-0.952179742285399,0.127082712443351,-7.49259851303413,6.75232118944419e-14,2.43589986909199e-10,5409.944058116,7057.3977160359,5674.89181288752,2857.42138925523,2980.63426257384,3537.61868930802
"5","ENSGALG00000007431",941.620453089389,-0.810424478130084,0.127373455796126,-6.36258530527151,1.98385790191421e-10,4.77117825410368e-07,1228.14667830505,1311.71248604391,1058.24438662797,667.60370878157,753.614265679132,630.401193098705
"6","ENSGALG00000025817",130.262576521519,1.7664832584182,0.277617689871339,6.36300683590037,1.97841882090828e-10,4.77117825410368e-07,42.059817750173,70.4992052759754,64.8456134784799,169.565528355261,203.99376336055,230.611530908672
"7","ENSGALG00000003473",2836.23618561061,0.42945591301845,0.0685909370769924,6.26111744961861,3.82228498662013e-10,7.87936747956122e-07,2534.10401944792,2332.88279276864,2384.8775623752,3271.16127844206,3237.47615115734,3256.91530947247
"8","ENSGALG00000001276",1498.05768053044,-0.539568180957811,0.0878904436798474,-6.13909952398534,8.29905632825312e-10,1.49694228520866e-06,1806.46917236993,1703.73079416941,1813.87591035637,1255.75385570525,1271.52589286395,1136.99045771775
"9","ENSGALG00000032746",759.951007715283,1.02425729399137,0.167996177234667,6.096908339531,1.0813948370616e-09,1.73383638875544e-06,572.013521402352,419.790722325126,510.659206143029,867.20655930262,1198.59548005629,991.440557062281
"10","ENSGALG00000003582",199.892864112375,1.24497396398379,0.208024479530279,5.98474740470425,2.16725932161626e-09,3.12735520109227e-06,110.407021594204,107.885147467781,136.896295121235,277.118520626312,321.316601355478,245.73359850924
"11","ENSGALG00000013239",5473.52223366273,1.00309939940157,0.171358029139975,5.85382199151105,4.80402805868177e-09,6.30201135334345e-06,2956.80518783716,3896.683346163,4077.16794745942,5488.10944345256,8466.26966071507,7956.09781634917
"12","ENSGALG00000001191",2707.50036577318,-0.990442892187986,0.171103469965542,-5.78856111093159,7.09919209611152e-09,8.5367784955741e-06,3750.68424787167,4184.02101615145,2872.12029698434,1481.51824488682,1763.0134574373,2193.64493130749
"13","ENSGALG00000012290",350.551409232803,2.16665613291483,0.378249106540188,5.72811963188239,1.01549945550697e-08,1.12720439561274e-05,53.6262676314705,138.862070998133,190.033672832767,417.6156726921,739.873753121167,563.297018121182
"14","ENSGALG00000021031",1198.71588292948,0.777704819491007,0.136320180989289,5.70498670004051,1.16352173478365e-08,1.19925847378057e-05,821.217941572127,859.876670411518,968.181034574526,1356.52422684209,1406.81709343468,1779.67833074192
"15","ENSGALG00000032465",4470.74837879443,-0.925102211750971,0.162851654291108,-5.68064362488632,1.34188814736116e-08,1.29089639776144e-05,6893.60412925335,4823.85471251977,5854.11788347388,3432.00629391048,2419.38717270622,3401.52008090291
"16","ENSGALG00000016943",62.6866962227256,-2.73490843807527,0.483681505232154,-5.65435810236859,1.56429767760968e-08,1.41080096799423e-05,107.252535262941,153.816447874855,65.7462469990143,12.5962963921051,25.3671001070114,11.3415507004265
"17","ENSGALG00000010114",120.041769102606,2.12011395185673,0.377503495366762,5.61614389767953,1.95266062870768e-08,1.65746428660305e-05,28.3903769813667,36.3177724148964,69.3487810811521,141.466097942103,210.335538387303,234.392047808814
"18","ENSGALG00000008298",102.071816519585,3.57105320824674,0.643011908129826,5.55363464205975,2.79789969455619e-08,2.24298292180255e-05,3.15448633126297,9.61352799217846,34.2240737803088,145.341881447367,299.120388761843,120.976540804549
"19","ENSGALG00000000314",193.439496467538,0.968584892919157,0.176240346995809,5.49581812240864,3.88903173474408e-08,2.81871418972255e-05,135.642912244308,120.703184790685,135.995661600701,249.98803608947,253.671001070114,264.636183009951
"20","ENSGALG00000016127",501.851824492015,-0.955771548677437,0.173934249625022,-5.49501636818479,3.90674177369723e-08,2.81871418972255e-05,628.794275365086,797.922823350812,560.194049772423,310.062680421049,380.506501605172,333.630616437545
