Image,Construct,Cntl Area,Expt Area,Expt/Cntl Area,Norm Cntl Area,Norm Expt Area
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb12_8ss_10x",SMPD3MO,116506.057,53329.019,0.4577360213984411,1.3832485689288467,0.6331626965465776
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb13_8ss_10x",SMPD3MO,97302.02,40681.74,0.4180975893408996,1.1552436275384894,0.4830045757752785
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb1_8ss_10x",SMPD3MO,129671.718,61209.66,0.4720355444045247,1.539561315288912,0.7267276636065477
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb3_9ss_10x",SMPD3MO,173182.4,121514.47,0.7016559996858803,2.056153243291575,1.442712259429115
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb6_8ss_10x",SMPD3MO,72508.322,52025.129,0.7175056264576085,0.8608739770665487,0.617681922216187
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb7_9ss_10x",SMPD3MO,122006.469,61269.639,0.5021835276619636,1.4485536459646189,0.7274397799381114
"20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb8_7ss_10x",SMPD3MO,74199.298,44131.504,0.5947698319194341,0.8809505309584466,0.5239627992274914
"20180630_SMPD3MO_0,8mM_Pax7_Emb2_7ss_10x",SMPD3MO,89317.483,44110.473,0.4938615769098644,1.060445128102452,0.5237131031910601
"20180630_SMPD3MO_0,8mM_Pax7_Emb3_9ss_10x",SMPD3MO,146043.286,47621.453,0.3260776602903882,1.733937029223865,0.5653981295801843
"20180630_SMPD3MO_0,8mM_Pax7_Emb4_8ss_10x",SMPD3MO,88178.692,62290.316,0.7064100701334967,1.046924534739147,0.7395580340095592
"20180630_SMPD3MO_0,8mM_Pax7_Emb5_8ss_10x",SMPD3MO,80452.846,47922.588,0.5956605686764642,0.9551974117169968,0.5689734334616331
"20180630_SMPD3MO_0,8mM_Pax7_Emb7_7ss_10x",SMPD3MO,46954.255,47286.308,1.007071840454076,0.5574766471915718,0.5614190330973837
"20180630_SMPD3MO_0,8mM_Pax7_Emb8_8ss_10x",SMPD3MO,76233.033,54937.746,0.7206553883275246,0.9050965805353411,0.6522627277196109
"20180702_SMPD3MO_0,8mM_Pax7TCFLefRFP_Emb3_9ss_10x",SMPD3MO,97942.613,72303.432,0.7382224119342211,1.162849235120899,0.8584413670668143
"20181119_SMPD3MO_0,6mM_Pax7_Emb1_7ss_10x",SMPD3MO,84674.72,51361.015,0.6065684657711298,1.0053227126590578,0.609797055422475
"20181119_SMPD3MO_0,6mM_Pax7_Emb2_7ss_10x",SMPD3MO,44774.579,22611.131,0.5049992988208779,0.5315978750026841,0.26845655413102415
"20181119_SMPD3MO_0,6mM_Pax7_Emb5_9ss_10x",SMPD3MO,131576.416,90281.281,0.6861509360461681,1.5621753394056295,1.071888071401413
"20181119_SMPD3MO_0,6mM_Pax7_Emb6_7ss_10x",SMPD3MO,47346.082,27928.306,0.5898757578293384,0.562128715512944,0.3315861020608304
"20181119_SMPD3MO_0,8mM_Pax7_Emb1_7ss_10x",SMPD3MO,59571.234,35117.22,0.5894996232577624,0.7072750233048009,0.4169383597778052
"20181119_SMPD3MO_0,8mM_Pax7_Emb3_7ss_10x",SMPD3MO,49505.353,25691.123,0.5189564651725642,0.5877652240137815,0.3050245630055524
"20181119_SMPD3MO_0,8mM_Pax7_Emb4_7ss_10x",SMPD3MO,47452.026,35071.668,0.7390973780550487,0.5633865633035235,0.41639753176907895
"20181119_SMPD3MO_0,8mM_Pax7_Emb5_8ss_10x",SMPD3MO,93746.916,35418.973,0.3778148072625664,1.1130347274433363,0.4205210010255472
"20181119_SMPD3MO_1,0mM_Pax7_Emb3_7ss_10x",SMPD3MO,52654.599,42694.662,0.810843930270934,0.625155469078078,0.5069035175776381
"20181119_SMPD3MO_1,0mM_Pax7_Emb4_6ss_10x",SMPD3MO,43721.326,30974.288,0.70844804661231,0.5190928538691476,0.3677503183340069
"20181119_SMPD3MO_1,0mM_Pax7_Emb5_6ss_10x",SMPD3MO,41534.435,22358.227,0.538305793734765,0.49312841970969973,0.2654538853850002
"20181119_SMPD3MO_1,0mM_Pax7_Emb6_8ss_10x",SMPD3MO,64640.245,37909.473,0.58646858470292,0.7674581793756873,0.45009011227713897
"20181119_SMPD3MO_1,0mM_Pax7_Emb7_9ss_10x",SMPD3MO,102416.567,59620.084,0.5821332011646124,1.215967421653926,0.70785500767928
