,Date,Image,Treatment,Explant,FOV,ROI,ROI_ID,Channel,Area,Mean,IntDen,CTCF,__label,__sort
1470,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0526-0740,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0526-0740,Ceramide,329.138,4512.712,1485306.227,1318234.13251,nSMase2FLAG,3
1471,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0610-0795,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0610-0795,Ceramide,574.472,3581.413,2057421.776,1765816.91644,nSMase2FLAG,3
1472,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0514-0312,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0514-0312,Ceramide,673.535,2542.489,1712456.353,1370566.6193249999,nSMase2FLAG,3
1473,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0466-0367,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0466-0367,Ceramide,611.07,1977.613,1208458.722,898276.53465,nSMase2FLAG,3
1474,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0336-0426,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0336-0426,Ceramide,518.92,2286.123,1186315.857,922909.4704000001,nSMase2FLAG,3
1475,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0504-0504,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0504-0504,Ceramide,564.697,3533.062,1995109.257,1708466.2363149999,nSMase2FLAG,3
1476,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0464-0456,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0464-0456,Ceramide,533.345,3278.677,1748664.784,1477936.1952749998,nSMase2FLAG,3
1477,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0770-0313,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0770-0313,Ceramide,461.819,3342.303,1543538.194,1309116.560505,nSMase2FLAG,3
1478,20221001,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,nSMase2FLAG,Explant1,FOV2,0004-0114-0326,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0114-0326,Ceramide,511.291,2997.996,1532848.054,1273314.185945,nSMase2FLAG,3
1479,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0004-0974-0168,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0004-0974-0168,Ceramide,244.499,1092.647,267151.575,238682.11144,H2BRFP,2
1480,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0004-0868-0247,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0004-0868-0247,Ceramide,302.078,1672.368,505185.08,470011.11768,H2BRFP,2
1481,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0002-0855-0327,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0002-0855-0327,Ceramide,280.381,2718.556,762232.789,729585.22536,H2BRFP,2
1482,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0760-0441,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0760-0441,Ceramide,241.519,1344.235,324658.508,296536.03563999996,H2BRFP,2
1483,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0741-0473,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0741-0473,Ceramide,273.825,2620.578,717579.654,685695.471,H2BRFP,2
1484,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0881-0435,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0881-0435,Ceramide,283.362,1483.856,420467.911,387473.23972,H2BRFP,2
1485,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0559-0536,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0559-0536,Ceramide,280.262,906.449,254043.383,221409.67572,H2BRFP,2
1486,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0467-0459,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0467-0459,Ceramide,237.228,992.376,235418.996,207796.16768,H2BRFP,2
1487,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0508-0488,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0508-0488,Ceramide,251.413,1442.521,362669.153,333394.62328,H2BRFP,2
1488,20221001,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,H2BRFP,Explant1,FOV3,0003-0140-0217,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0003-0140-0217,Ceramide,262.977,914.107,240389.091,209768.04911999998,H2BRFP,2
