 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,30.279,66.382,2009.997,16861
2,H2BRFP:0004-0295-0750,471.832,1159.311,547000.664,4588554
3,H2BRFP:0004-0454-0894,537.04,1187.353,637656.389,5349026
4,H2BRFP:0004-0607-0893,506.284,1383.845,700618.72,5877190
5,H2BRFP:0004-0325-0629,209.452,2324.976,486969.94,4084982
6,H2BRFP:0004-0268-0605,382.306,816.835,312280.953,2619591
7,H2BRFP:0004-0275-0563,262.977,2395.707,630015.516,5284930
8,H2BRFP:0004-0418-0619,334.145,1662.103,555383.617,4658875
9,H2BRFP:0004-0464-0654,453.116,1975.886,895306.465,7510342
10,H2BRFP:0004-0414-0771,550.034,3261.223,1793784.029,15047285
11,H2BRFP:0004-0886-0663,375.749,3864.166,1451957.878,12179852
12,H2BRFP:0004-0772-0735,663.76,1786.899,1186072.192,9949451
13,H2BRFP:0004-0931-0803,632.408,1226.101,775395.936,6504464
14,H2BRFP:0004-0553-0637,412.108,1807.293,744800.619,6247813
15,H2BRFP:0004-0687-0592,198.127,4972.841,985252.653,8264862
16,H2BRFP:0004-0708-0709,393.75,1656.536,652261.021,5471538
17,H2BRFP:0004-0665-0700,295.402,2363.324,698130.335,5856316
18,PMGFP:background,30.279,51.646,1563.794,13118
19,PMGFP:0004-0295-0750,471.832,9374.927,4423394.668,37105961
20,PMGFP:0004-0454-0894,537.04,9446.891,5073360.424,42558245
21,PMGFP:0004-0607-0893,506.284,7812.098,3955140.788,33177980
22,PMGFP:0004-0325-0629,209.452,13899.392,2911250.378,24421231
23,PMGFP:0004-0268-0605,382.306,6847.121,2617694.545,21958717
24,PMGFP:0004-0275-0563,262.977,9308.13,2447822.707,20533735
25,PMGFP:0004-0418-0619,334.145,7166.457,2394636.534,20087579
26,PMGFP:0004-0464-0654,453.116,5302.382,2402596.769,20154354
27,PMGFP:0004-0414-0771,550.034,17543.83,9649704.381,80947232
28,PMGFP:0004-0886-0663,375.749,27522.328,10341496.21,86750377
29,PMGFP:0004-0772-0735,663.76,11318.511,7512777.409,63021468
30,PMGFP:0004-0931-0803,632.408,7056.229,4462415.855,37433293
31,PMGFP:0004-0553-0637,412.108,12646.505,5211730.115,43718969
32,PMGFP:0004-0687-0592,198.127,23058.187,4568442.731,38322707
33,PMGFP:0004-0708-0709,393.75,9435.747,3715325.454,31166272
34,PMGFP:0004-0665-0700,295.402,9535.759,2816881.625,23629612
35,Ceramide:background,30.279,338.354,10245.13,85942
36,Ceramide:0004-0295-0750,471.832,692.895,326930.528,2742480
37,Ceramide:0004-0454-0894,537.04,1344.29,721937.965,6056028
38,Ceramide:0004-0607-0893,506.284,2306.646,1167818.309,9796327
39,Ceramide:0004-0325-0629,209.452,500.393,104808.075,879190
40,Ceramide:0004-0268-0605,382.306,787.947,301236.641,2526945
41,Ceramide:0004-0275-0563,262.977,424.903,111739.649,937336
42,Ceramide:0004-0418-0619,334.145,809.09,270353.55,2267880
43,Ceramide:0004-0464-0654,453.116,737.11,333996.809,2801756
44,Ceramide:0004-0414-0771,550.034,728.303,400591.702,3360392
45,Ceramide:0004-0886-0663,375.749,675.424,253789.943,2128935
46,Ceramide:0004-0772-0735,663.76,1281.175,850393.333,7133585
47,Ceramide:0004-0931-0803,632.408,2825.263,1786719.179,14988021
48,Ceramide:0004-0553-0637,412.108,654.152,269581.548,2261404
49,Ceramide:0004-0687-0592,198.127,625.392,123906.918,1039402
50,Ceramide:0004-0708-0709,393.75,1039.908,409463.892,3434817
51,Ceramide:0004-0665-0700,295.402,986.364,291373.698,2444209
