 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,21.935,64.946,1424.557,11950.000
2,H2BRFP:0004-0974-0168,244.499,453.495,110879.312,930119.000
3,H2BRFP:0004-0868-0247,302.078,1170.986,353728.774,2967279.000
4,H2BRFP:0002-0855-0327,280.381,1147.273,321674.209,2698387.000
5,H2BRFP:0003-0760-0441,241.519,2852.468,688925.549,5779101.000
6,H2BRFP:0003-0741-0473,273.825,2109.249,577565.106,4844946.000
7,H2BRFP:0003-0881-0435,283.362,2235.902,633569.161,5314740.000
8,H2BRFP:0003-0559-0536,280.262,2414.372,676657.309,5676188.000
9,H2BRFP:0003-0467-0459,237.228,4513.321,1070684.007,8981509.000
10,H2BRFP:0003-0508-0488,251.413,2357.217,592636.088,4971370.000
11,H2BRFP:0003-0140-0217,262.977,1094.818,287911.725,2415168.000
12,H2BRFP:0003-0080-0175,270.725,706.173,191179.161,1603720.000
13,H2BRFP:0003-0071-0128,245.691,591.468,145318.669,1219016.000
14,PMGFP:background,21.935,51.761,1135.354,9524.000
15,PMGFP:0004-0974-0168,244.499,2088.542,510647.155,4283600.000
16,PMGFP:0004-0868-0247,302.078,6310.210,1906173.491,15990072.000
17,PMGFP:0002-0855-0327,280.381,12707.869,3563051.250,29888909.000
18,PMGFP:0003-0760-0441,241.519,10678.947,2579169.510,21635547.000
19,PMGFP:0003-0741-0473,273.825,9596.984,2627893.541,22044272.000
20,PMGFP:0003-0881-0435,283.362,20438.847,5791587.029,48583140.000
21,PMGFP:0003-0559-0536,280.262,16135.772,4522248.094,37935200.000
22,PMGFP:0003-0467-0459,237.228,21147.279,5016716.689,42083085.000
23,PMGFP:0003-0508-0488,251.413,17332.874,4357718.525,36555032.000
24,PMGFP:0003-0140-0217,262.977,7930.519,2085542.894,17494725.000
25,PMGFP:0003-0080-0175,270.725,2416.931,654324.901,5488851.000
26,PMGFP:0003-0071-0128,245.691,4236.447,1040858.666,8731317.000
27,Ceramide:background,21.935,116.440,2554.070,21425.000
28,Ceramide:0004-0974-0168,244.499,1092.647,267151.575,2241020.000
29,Ceramide:0004-0868-0247,302.078,1672.368,505185.080,4237781.000
30,Ceramide:0002-0855-0327,280.381,2718.556,762232.789,6394044.000
31,Ceramide:0003-0760-0441,241.519,1344.235,324658.508,2723421.000
32,Ceramide:0003-0741-0473,273.825,2620.578,717579.654,6019468.000
33,Ceramide:0003-0881-0435,283.362,1483.856,420467.911,3527125.000
34,Ceramide:0003-0559-0536,280.262,906.449,254043.383,2131061.000
35,Ceramide:0003-0467-0459,237.228,992.376,235418.996,1974829.000
36,Ceramide:0003-0508-0488,251.413,1442.521,362669.153,3042276.000
37,Ceramide:0003-0140-0217,262.977,914.107,240389.091,2016521.000
38,Ceramide:0003-0080-0175,270.725,1328.637,359695.822,3017334.000
39,Ceramide:0003-0071-0128,245.691,2507.761,616135.322,5168495.000
