 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,18.358,62.857,1153.951,9680.000
2,H2BRFP:0004-0128-0430,311.376,3117.505,970716.327,8142923.000
3,H2BRFP:0004-0132-0466,233.770,1335.750,312258.899,2619406.000
4,H2BRFP:0004-0198-0451,314.595,2616.289,823070.563,6904386.000
5,H2BRFP:0004-0213-0492,360.014,1622.832,584241.571,4900952.000
6,H2BRFP:0004-0317-0483,640.991,2650.233,1698775.954,14250303.000
7,H2BRFP:0004-0556-0356,1009.111,1180.798,1191555.844,9995451.000
8,H2BRFP:0004-0441-0518,246.168,2368.728,583105.621,4891423.000
9,H2BRFP:0004-0684-0403,420.930,3104.171,1306638.136,10960827.000
10,H2BRFP:0004-0781-0530,420.334,3015.993,1267723.761,10634391.000
11,H2BRFP:0004-0745-0543,335.337,2997.335,1005118.014,8431504.000
12,H2BRFP:0004-0708-0529,451.448,2853.271,1288102.083,10805336.000
13,H2BRFP:0004-0680-0550,520.708,2599.010,1353326.540,11352476.000
14,H2BRFP:0004-0655-0483,287.176,2572.750,738833.214,6197755.000
15,H2BRFP:0004-0813-0480,222.446,4963.404,1104086.955,9261712.000
16,H2BRFP:0004-0880-0457,266.792,4845.516,1292742.802,10844265.000
17,H2BRFP:0004-0856-0415,497.820,2250.321,1120255.262,9397341.000
18,H2BRFP:0004-0951-0374,452.163,2554.073,1154856.626,9687597.000
19,H2BRFP:0004-0949-0136,505.807,599.350,303155.442,2543041.000
20,H2BRFP:0004-0990-0119,249.268,1360.821,339208.662,2845476.000
21,H2BRFP:0004-0889-0208,413.539,1369.040,566151.363,4749201.000
22,H2BRFP:0004-0773-0151,700.596,1313.244,920053.707,7717936.000
23,PMGFP:background,18.358,49.825,914.697,7673.000
24,PMGFP:0004-0128-0430,311.376,31892.024,9930411.900,83301967.000
25,PMGFP:0004-0132-0466,233.770,10877.870,2542924.601,21331504.000
26,PMGFP:0004-0198-0451,314.595,19639.660,6178532.784,51829062.000
27,PMGFP:0004-0213-0492,360.014,10844.187,3904055.211,32749445.000
28,PMGFP:0004-0317-0483,640.991,17948.487,11504821.740,96509016.000
29,PMGFP:0004-0556-0356,1009.111,11258.403,11360979.008,95302381.000
30,PMGFP:0004-0441-0518,246.168,16025.747,3945030.365,33093168.000
31,PMGFP:0004-0684-0403,420.930,18982.500,7990300.805,67027207.000
32,PMGFP:0004-0781-0530,420.334,25863.461,10871287.031,91194565.000
33,PMGFP:0004-0745-0543,335.337,26775.157,8978706.438,75318518.000
34,PMGFP:0004-0708-0529,451.448,14037.414,6337156.222,53159686.000
35,PMGFP:0004-0680-0550,520.708,18389.744,9575695.472,80326403.000
36,PMGFP:0004-0655-0483,287.176,15971.582,4586661.924,38475540.000
37,PMGFP:0004-0813-0480,222.446,38483.111,8560395.271,71809485.000
38,PMGFP:0004-0880-0457,266.792,24376.622,6503476.918,54554879.000
39,PMGFP:0004-0856-0415,497.820,14783.456,7359502.796,61735713.000
40,PMGFP:0004-0951-0374,452.163,7731.685,3495980.709,29326283.000
41,PMGFP:0004-0949-0136,505.807,6865.467,3472602.711,29130175.000
42,PMGFP:0004-0990-0119,249.268,9576.947,2387223.830,20025397.000
43,PMGFP:0004-0889-0208,413.539,10608.023,4386829.442,36799231.000
44,PMGFP:0004-0773-0151,700.596,13618.216,9540868.802,80034257.000
45,Ceramide:background,18.358,79.370,1457.102,12223.000
46,Ceramide:0004-0128-0430,311.376,684.657,213185.889,1788325.000
47,Ceramide:0004-0132-0466,233.770,418.797,97902.251,821260.000
48,Ceramide:0004-0198-0451,314.595,499.669,157193.159,1318626.000
49,Ceramide:0004-0213-0492,360.014,452.998,163085.461,1368054.000
50,Ceramide:0004-0317-0483,640.991,433.743,278025.417,2332236.000
51,Ceramide:0004-0556-0356,1009.111,882.607,890648.699,7471270.000
52,Ceramide:0004-0441-0518,246.168,510.915,125771.121,1055040.000
53,Ceramide:0004-0684-0403,420.930,659.367,277547.386,2328226.000
54,Ceramide:0004-0781-0530,420.334,377.776,158792.120,1332039.000
55,Ceramide:0004-0745-0543,335.337,546.007,183096.617,1535919.000
56,Ceramide:0004-0708-0529,451.448,501.920,226590.555,1900771.000
57,Ceramide:0004-0680-0550,520.708,530.780,276381.752,2318448.000
58,Ceramide:0004-0655-0483,287.176,365.294,104903.920,879994.000
59,Ceramide:0004-0813-0480,222.446,530.210,117942.732,989371.000
60,Ceramide:0004-0880-0457,266.792,613.596,163702.253,1373228.000
61,Ceramide:0004-0856-0415,497.820,580.668,289068.061,2424868.000
62,Ceramide:0004-0951-0374,452.163,900.663,407246.351,3416215.000
63,Ceramide:0004-0949-0136,505.807,606.436,306739.962,2573110.000
64,Ceramide:0004-0990-0119,249.268,5374.971,1339806.717,11239064.000
65,Ceramide:0004-0889-0208,413.539,1528.488,632089.290,5302326.000
66,Ceramide:0004-0773-0151,700.596,413.383,289614.280,2429450.000
