 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,13.232,58.081,768.546,6447.000
2,H2BRFP:0004-0259-0490,424.506,2354.807,999630.191,8385469.000
3,H2BRFP:0004-0475-0413,355.841,1589.813,565721.134,4745592.000
4,H2BRFP:0004-0477-0466,240.685,1633.633,393190.322,3298305.000
5,H2BRFP:0004-0423-0410,329.615,1515.681,499591.517,4190859.000
6,H2BRFP:0004-0341-0842,219.465,2106.653,462337.139,3878348.000
7,H2BRFP:0004-0496-0850,330.330,1057.253,349242.790,2929648.000
8,H2BRFP:0004-0825-0825,227.452,4765.600,1083946.695,9092764.000
9,H2BRFP:0004-0776-0817,388.147,580.424,225289.857,1889860.000
10,H2BRFP:0004-0760-0627,178.934,2451.538,438663.382,3679759.000
11,H2BRFP:0004-0646-0219,328.781,224.357,73764.171,618776.000
12,H2BRFP:0004-0724-0197,508.430,1230.984,625868.803,5250145.000
13,H2BRFP:0004-0680-0259,275.494,1234.793,340177.957,2853607.000
14,H2BRFP:0004-0724-0381,234.843,1931.389,453573.788,3804836.000
15,H2BRFP:0004-0641-0476,224.353,2247.646,504265.853,4230070.000
16,H2BRFP:0004-0807-0338,360.729,2155.459,777536.468,6522420.000
17,H2BRFP:0004-0790-0564,230.194,1636.037,376606.210,3159188.000
18,H2BRFP:0004-0980-0358,526.431,1322.807,696365.910,5841515.000
19,H2BRFP:0004-0922-0332,435.831,1684.503,734158.878,6158544.000
20,H2BRFP:0004-0952-0157,602.844,1432.337,863475.895,7243329.000
21,PMGFP:background,13.232,50.090,662.807,5560.000
22,PMGFP:0004-0259-0490,424.506,3768.365,1599694.242,13419149.000
23,PMGFP:0004-0475-0413,355.841,5384.329,1915966.577,16072222.000
24,PMGFP:0004-0477-0466,240.685,6969.268,1677395.555,14070952.000
25,PMGFP:0004-0423-0410,329.615,7243.824,2387673.966,20029173.000
26,PMGFP:0004-0341-0842,219.465,8290.548,1819487.215,15262898.000
27,PMGFP:0004-0496-0850,330.330,4286.720,1416034.001,11878502.000
28,PMGFP:0004-0825-0825,227.452,13152.715,2991615.674,25095381.000
29,PMGFP:0004-0776-0817,388.147,6035.351,2342604.193,19651102.000
30,PMGFP:0004-0760-0627,178.934,10213.703,1827577.985,15330768.000
31,PMGFP:0004-0646-0219,328.781,4078.822,1341037.796,11249391.000
32,PMGFP:0004-0724-0197,508.430,5326.177,2707987.514,22716146.000
33,PMGFP:0004-0680-0259,275.494,13541.500,3730600.284,31294406.000
34,PMGFP:0004-0724-0381,234.843,14697.801,3451680.436,28954667.000
35,PMGFP:0004-0641-0476,224.353,17360.837,3894953.542,32673095.000
36,PMGFP:0004-0807-0338,360.729,7874.901,2840704.395,23829451.000
37,PMGFP:0004-0790-0564,230.194,8511.759,1959357.042,16436206.000
38,PMGFP:0004-0980-0358,526.431,10401.102,5475457.864,45931268.000
39,PMGFP:0004-0922-0332,435.831,10779.213,4697915.913,39408802.000
40,PMGFP:0004-0952-0157,602.844,5406.303,3259157.303,27339673.000
41,Ceramide:background,13.232,255.901,3386.155,28405.000
42,Ceramide:0004-0259-0490,424.506,2361.982,1002675.882,8411018.000
43,Ceramide:0004-0475-0413,355.841,2068.075,735906.375,6173203.000
44,Ceramide:0004-0477-0466,240.685,1937.282,466273.924,3911372.000
45,Ceramide:0004-0423-0410,329.615,1916.152,631592.662,5298160.000
46,Ceramide:0004-0341-0842,219.465,1664.732,365350.897,3064772.000
47,Ceramide:0004-0496-0850,330.330,1387.293,458265.051,3844189.000
48,Ceramide:0004-0825-0825,227.452,1671.806,380256.176,3189806.000
49,Ceramide:0004-0776-0817,388.147,414.786,160998.098,1350544.000
50,Ceramide:0004-0760-0627,178.934,1117.899,200030.013,1677966.000
51,Ceramide:0004-0646-0219,328.781,1462.206,480745.042,4032764.000
52,Ceramide:0004-0724-0197,508.430,2034.189,1034242.521,8675817.000
53,Ceramide:0004-0680-0259,275.494,1101.695,303510.210,2546017.000
54,Ceramide:0004-0724-0381,234.843,814.405,191257.601,1604378.000
55,Ceramide:0004-0641-0476,224.353,1844.023,413711.814,3470451.000
56,Ceramide:0004-0807-0338,360.729,744.913,268711.674,2254107.000
57,Ceramide:0004-0790-0564,230.194,836.058,192455.660,1614428.000
58,Ceramide:0004-0980-0358,526.431,742.010,390616.940,3276718.000
59,Ceramide:0004-0922-0332,435.831,773.712,337207.844,2828692.000
60,Ceramide:0004-0952-0157,602.844,1110.892,669694.383,5617779.000
