 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,212.093,34.198,30,40,7253.222,35190
2,Cad6B:background,255.378,34.521,29,41,8815.994,42772
3,Cad6B:background,298.662,34.887,28,41,10419.370,50551
4,Cad6B:Cntl,16619.545,72.892,42,411,1211435.660,5877446
5,Cad6B:Expt,13948.488,79.575,43,367,1109944.966,5385050
6,Snai2:background,212.093,25.290,22,29,5363.757,26023
7,Snai2:background,255.378,26.285,22,31,6712.580,32567
8,Snai2:background,298.662,25.984,22,30,7760.474,37651
9,Snai2:Cntl,16619.545,557.517,87,2038,9265678.684,44953709
10,Snai2:Expt,13948.488,321.572,61,1176,4485448.573,21761768
