 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,223.842,29.840,27,35,6679.395,32406.000
2,Sox9:background,364.207,29.323,26,34,10679.694,51814.000
3,Sox9:background,229.407,29.299,26,33,6721.443,32610.000
4,Sox9:Cntl,22696.669,360.561,43,1340,8183535.469,39703543.000
5,Sox9:Expt,22475.095,149.215,39,837,3353618.623,16270540.000
6,Msx1:background,223.842,44.370,39,51,9931.906,48186.000
7,Msx1:background,364.207,44.234,38,55,16110.439,78162.000
8,Msx1:background,229.407,42.524,37,50,9755.264,47329.000
9,Msx1:Cntl,22696.669,360.774,68,1709,8188370.744,39727002.000
10,Msx1:Expt,22475.095,241.257,65,1121,5422283.512,26306951.000
