 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,62.144,6.675,0,22,414.809,8050
2,H2BRFP:background,45.139,6.921,0,21,312.420,6063
3,H2BRFP:background,54.415,6.575,0,21,357.766,6943
4,H2BRFP:Cntl,6307.460,175.159,0,2946,1104806.512,21440477
5,H2BRFP:Expt,7378.129,210.950,0,3382,1556415.807,30204653
6,BREGFP:background,62.144,6.589,0,22,409.449,7946
7,BREGFP:background,45.139,6.613,0,22,298.508,5793
8,BREGFP:background,54.415,6.649,0,22,361.785,7021
9,BREGFP:Cntl,6307.460,182.861,0,5039,1153387.751,22383271
10,BREGFP:Expt,7378.129,93.441,0,1248,689420.202,13379264
