 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,23.652,5.978,0,18,141.396,2744
2,H2BRFP:background,21.951,6.026,0,16,132.275,2567
3,H2BRFP:background,54.105,6.105,0,17,330.301,6410
4,H2BRFP:Cntl,4041.420,247.745,0,2348,1001243.460,19430676
5,H2BRFP:Expt,3949.647,243.279,0,2272,960865.020,18647070
6,BREGFP:background,23.652,6.712,0,23,158.761,3081
7,BREGFP:background,21.951,6.298,0,21,138.252,2683
8,BREGFP:background,54.105,6.285,0,21,340.040,6599
9,BREGFP:Cntl,4041.420,287.017,0,3976,1159957.957,22510776
10,BREGFP:Expt,3949.647,296.894,0,3061,1172627.858,22756655
