 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,14.840,10.663,1,32,158.246,3071
2,Cad6B:background,58.279,10.722,0,32,624.892,12127
3,Cad6B:background,51.632,10.952,0,32,565.479,10974
4,Cad6B:Cntl,2556.560,47.122,0,3475,120470.905,2337924
5,Cad6B:Expt,2714.239,50.650,0,1517,137475.117,2667917
6,Snai2:background,14.840,10.903,1,28,161.801,3140
7,Snai2:background,58.279,10.434,0,29,608.094,11801
8,Snai2:background,51.632,10.793,0,29,557.286,10815
9,Snai2:Cntl,2556.560,389.983,0,3536,997014.371,19348604
10,Snai2:Expt,2714.239,298.701,0,2366,810746.334,15733785
