 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,49.932,8.747,0,26,436.760,8476.000
2,Cad6B:background,28.289,8.638,0,30,244.351,4742.000
3,Cad6B:background,36.792,8.538,0,24,314.121,6096.000
4,Cad6B:Cntl,4486.837,130.711,0,2892,586478.796,11381527.000
5,Cad6B:Expt,5920.631,155.079,1,4905,918165.559,17818421.000
6,Snai2:background,49.932,12.247,0,35,611.495,11867.000
7,Snai2:background,28.289,11.849,0,32,335.196,6505.000
8,Snai2:background,36.792,12.366,0,34,454.950,8829.000
9,Snai2:Cntl,4486.837,205.843,0,1285,923581.928,17923534.000
10,Snai2:Expt,5920.631,180.662,0,1405,1069635.078,20757921.000
