 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,28.289,6.636,0,20,187.720,3643.000
2,H2BRFP:background,18.550,6.444,0,25,119.547,2320.000
3,H2BRFP:background,45.294,6.604,0,21,299.126,5805.000
4,H2BRFP:Cntl,4891.752,152.740,0,3868,747168.195,14499953.000
5,H2BRFP:Expt,4510.849,216.479,0,5372,976502.940,18950548.000
6,BREGFP:background,28.289,6.872,0,21,194.419,3773.000
7,BREGFP:background,18.550,6.556,0,21,121.608,2360.000
8,BREGFP:background,45.294,6.936,0,20,314.172,6097.000
9,BREGFP:Cntl,4891.752,260.759,0,8084,1275569.058,24754388.000
10,BREGFP:Expt,4510.849,239.778,0,5196,1081602.639,20990170.000
