 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,253.523,34.835,30,40,8831.452,42847.000
2,Cad6B:background,179.321,34.353,30,39,6160.189,29887.000
3,Cad6B:background,294.952,34.840,30,41,10276.119,49856.000
4,Cad6B:Cntl,16672.311,81.359,47,478,1356442.800,6580968.000
5,Cad6B:Expt,19391.393,65.437,39,249,1268918.733,6156333.000
6,Snai2:background,253.523,28.198,25,32,7148.721,34683.000
7,Snai2:background,179.321,25.516,22,29,4575.569,22199.000
8,Snai2:background,294.952,26.397,23,31,7785.826,37774.000
9,Snai2:Cntl,16672.311,309.481,64,1204,5159755.830,25033262.000
10,Snai2:Expt,19391.393,220.755,57,850,4280747.972,20768635.000
