 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,8.348,9.630,1,25,80.385,1560
2,Cad6B:background,30.144,9.564,0,27,288.305,5595
3,Cad6B:background,48.231,9.468,0,27,456.650,8862
4,Cad6B:Cntl,3041.500,50.438,0,1799,153406.598,2977092
5,Cad6B:Expt,5363.861,44.964,0,2266,241180.543,4680481
6,Snai2:background,8.348,70.840,19,127,591.347,11476
7,Snai2:background,30.144,70.015,10,131,2110.577,40959
8,Snai2:background,48.231,70.358,17,134,3393.443,65855
9,Snai2:Cntl,3041.500,629.831,1,4661,1915631.942,37175797
10,Snai2:Expt,5363.861,402.790,1,4200,2160508.919,41928013
