 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,41.738,8.695,0,27,362.919,7043.000
2,Cad6B:background,43.130,8.446,0,24,364.259,7069.000
3,Cad6B:background,20.869,8.679,1,26,181.124,3515.000
4,Cad6B:Cntl,3072.623,145.330,0,8597,446543.479,8665866.000
5,Cad6B:Expt,4406.245,123.306,1,3657,543318.563,10543936.000
6,Snai2:background,41.738,12.989,0,38,542.137,10521.000
7,Snai2:background,43.130,12.559,1,34,541.673,10512.000
8,Snai2:background,20.869,12.400,1,34,258.779,5022.000
9,Snai2:Cntl,3072.623,259.515,0,1400,797390.427,15474593.000
10,Snai2:Expt,4406.245,214.367,1,1470,944555.367,18330556.000
