 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,236.209,26.690,22,30,6304.470,30587
2,Sox9:background,156.442,26.584,23,31,4158.803,20177
3,Sox9:background,236.209,27.045,23,31,6388.359,30994
4,Sox9:Cntl,26317.509,73.705,32,322,1939723.049,9410832
5,Sox9:Expt,20918.507,51.731,32,215,1082125.283,5250079
6,Msx1:background,236.209,29.881,25,44,7058.236,34244
7,Msx1:background,156.442,28.834,25,33,4510.849,21885
8,Msx1:background,236.209,28.990,25,35,6847.586,33222
9,Msx1:Cntl,26317.509,292.185,74,929,7689585.895,37307079
10,Msx1:Expt,20918.507,213.088,59,790,4457487.495,21626111
