 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,21.488,8.398,180.455,3502.000
2,H2BRFP:background,21.797,8.700,189.627,3680.000
3,H2BRFP:background,18.087,8.798,159.122,3088.000
4,H2BRFP:Cntl,4398.773,354.518,1559444.594,30263436.000
5,H2BRFP:Expt,3461.821,233.195,807278.615,15666491.000
6,BREH2Bd2EGFP:background,21.488,7.580,162.883,3161.000
7,BREH2Bd2EGFP:background,21.797,7.520,163.914,3181.000
8,BREH2Bd2EGFP:background,18.087,8.094,146.394,2841.000
9,BREH2Bd2EGFP:Cntl,4398.773,193.083,849327.515,16482515.000
10,BREH2Bd2EGFP:Expt,3461.821,146.515,507208.655,9843169.000
