 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,2.489,141.948,353.324,8233.000
2,H2BRFP:0003-0543-0574,903.200,4656.005,4205305.317,97990286.000
3,H2BRFP:0003-0668-0685,679.010,1111.567,754764.485,17587210.000
4,H2BRFP:0003-0760-0609,525.415,1540.288,809290.386,18857750.000
5,H2BRFP:0003-0548-0440,739.177,2491.722,1841823.681,42917414.000
6,H2BRFP:0003-0197-0427,942.168,699.709,659243.521,15361420.000
7,H2BRFP:0003-0212-0619,897.407,2807.672,2519623.708,58711230.000
8,H2BRFP:0003-0132-0347,474.946,4581.617,2176021.697,50704758.000
9,H2BRFP:0003-0067-0243,617.040,2113.963,1304398.818,30394562.000
10,H2BRFP:0003-0671-0202,569.747,1609.298,916891.900,21365036.000
11,H2BRFP:0003-0666-0307,494.387,4019.909,1987390.422,46309350.000
12,Dex488:background,2.489,767.948,1911.501,44541.000
13,Dex488:0003-0543-0574,903.200,1345.996,1215704.042,28327833.000
14,Dex488:0003-0668-0685,679.010,1237.847,840509.719,19585210.000
15,Dex488:0003-0760-0609,525.415,1054.494,554047.037,12910175.000
16,Dex488:0003-0548-0440,739.177,1014.064,749572.950,17466239.000
17,Dex488:0003-0197-0427,942.168,926.173,872609.980,20333197.000
18,Dex488:0003-0212-0619,897.407,1067.233,957742.337,22316916.000
19,Dex488:0003-0132-0347,474.946,1316.584,625306.734,14570639.000
20,Dex488:0003-0067-0243,617.040,1178.485,727172.115,16944264.000
21,Dex488:0003-0671-0202,569.747,1214.261,691821.131,16120530.000
22,Dex488:0003-0666-0307,494.387,1122.884,555139.237,12935625.000
