 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,1.717,153.300,263.158,6132.000
2,H2BRFP:0003-0409-0774,1333.471,1204.389,1606017.850,37422764.000
3,H2BRFP:0003-0257-0611,949.206,5792.786,5498545.324,128124830.000
4,H2BRFP:0003-0233-0452,1659.157,2438.670,4046137.958,94281434.000
5,H2BRFP:0003-0535-0370,805.482,1092.711,880158.264,20509084.000
6,H2BRFP:0002-0908-0242,1214.681,1106.472,1344010.326,31317573.000
7,H2BRFP:0002-0605-0647,627.683,2035.310,1277528.673,29768445.000
8,H2BRFP:0002-0599-0888,840.544,553.759,465458.605,10845924.000
9,H2BRFP:0002-0471-0491,1256.009,388.604,488090.455,11373282.000
10,H2BRFP:0002-0330-0149,1815.971,520.833,945818.171,22039064.000
11,Dex488:background,1.717,517.775,888.824,20711.000
12,Dex488:0003-0409-0774,1333.471,779.388,1039291.548,24217142.000
13,Dex488:0003-0257-0611,949.206,1375.450,1305585.132,30422205.000
14,Dex488:0003-0233-0452,1659.157,998.718,1657029.784,38611423.000
15,Dex488:0003-0535-0370,805.482,832.815,670816.811,15631096.000
16,Dex488:0002-0908-0242,1214.681,900.564,1093898.173,25489563.000
17,Dex488:0002-0605-0647,627.683,1479.749,928812.547,21642806.000
18,Dex488:0002-0599-0888,840.544,746.547,627505.726,14621879.000
19,Dex488:0002-0471-0491,1256.009,920.841,1156583.904,26950240.000
20,Dex488:0002-0330-0149,1815.971,674.899,1225596.973,28558354.000
