,Area,Mean,Image,Date,Treatment,Explant,FOV,Channel,ROI,ROI_ID
9,1452.176,1094.093,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0390-0440,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0390-0440
10,527.475,949.968,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0538-0293,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0538-0293
11,742.782,862.955,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0575-0536,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0575-0536
12,1184.855,1115.335,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0688-0617,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0688-0617
13,1296.607,1335.371,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0526-0743,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0526-0743
14,1032.505,856.408,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0870-0702,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0870-0702
15,596.869,910.259,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,ControlMO,Explant5,FOV3,Dex488,0003-0710-0918,20221013_ControlMO_Explant5_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0710-0918
14,864.576,1466.763,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0684-0091,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0684-0091
15,1276.265,1028.601,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0554-0235,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0554-0235
16,1091.771,1167.782,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0524-0351,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0524-0351
17,1196.828,1258.055,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0598-0482,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0598-0482
18,1224.681,758.764,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0819-0450,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0819-0450
19,613.478,1030.921,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0691-0684,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0691-0684
20,1467.067,913.119,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0378-0896,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0378-0896
21,863.847,825.201,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0385-0579,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0385-0579
22,924.1,1219.009,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0529-0582,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0529-0582
23,334.398,1260.577,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0181-0556,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0181-0556
24,603.779,1067.222,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0284-0514,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0284-0514
25,882.215,945.647,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity,20221013,SMPD3MO,Explant6,FOV3,Dex488,0003-0246-0138,20221013_SMPD3MO_Explant6_H2BRFP;TPMT;3kDaDex488_FOV3_Intensity_0003-0246-0138
12,662.187,1169.302,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0755-0908,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0755-0908
13,1419.946,817.991,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0670-0559,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0670-0559
14,718.792,1267.137,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0510-0637,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0510-0637
15,461.213,1047.331,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0414-0677,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0414-0677
16,575.669,1443.198,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0476-0520,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0476-0520
17,1203.266,998.248,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0565-0418,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0565-0418
18,613.22,1239.859,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity,20221013,ControlMO,Explant3,FOV4,Dex488,0003-0518-0837,20221013_ControlMO_Explant3_H2BRFP;TPMT;3kDaDex488_FOV4_Intensity_0003-0518-0837
