 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,7.272,64.311,467.660,3923.000
2,H2BRFP:0004-0145-0253,312.807,1152.911,360638.056,3025238.000
3,H2BRFP:0004-0343-0120,524.285,1673.116,877189.315,7358365.000
4,H2BRFP:0004-0244-0336,386.478,636.511,245997.555,2063568.000
5,H2BRFP:0004-0220-0436,507.238,1308.090,663512.520,5565922.000
6,H2BRFP:0004-0350-0378,432.732,1079.413,467096.114,3918269.000
7,H2BRFP:0004-0337-0484,375.153,1981.188,743249.341,6234800.000
8,H2BRFP:0004-0376-0475,254.155,2294.809,583237.944,4892533.000
9,H2BRFP:0004-0288-0492,385.525,1280.865,493804.835,4142317.000
10,H2BRFP:0004-0320-0614,386.001,1983.767,765736.961,6423439.000
11,H2BRFP:0004-0393-0552,303.747,1713.866,520581.027,4366931.000
12,H2BRFP:0004-0401-0614,413.539,1818.165,751881.920,6307215.000
13,H2BRFP:0004-0135-0458,517.013,2511.124,1298283.555,10890744.000
14,H2BRFP:0004-0131-0647,349.285,976.882,341209.956,2862264.000
15,H2BRFP:0004-0149-0783,386.121,1482.060,572253.713,4800391.000
16,H2BRFP:0004-0285-0896,545.623,1628.517,888556.805,7453722.000
17,H2BRFP:0004-0221-0834,575.187,1078.115,620118.360,5201907.000
18,H2BRFP:0004-0382-0929,244.857,3513.733,860362.015,7217208.000
19,H2BRFP:0004-0131-0981,478.866,1859.860,890623.546,7471059.000
20,H2BRFP:0004-0421-0722,411.274,1177.287,484187.464,4061641.000
21,H2BRFP:0004-0525-0839,224.114,4664.034,1045277.416,8768384.000
22,H2BRFP:0004-0510-0889,237.466,2432.416,577615.890,4845372.000
23,H2BRFP:0004-0484-0939,478.627,1752.101,838603.602,7034686.000
24,H2BRFP:0004-0568-0951,471.594,2053.840,968578.895,8124993.000
25,H2BRFP:0004-0654-0225,373.723,1657.049,619276.858,5194848.000
26,H2BRFP:0004-0659-0300,552.537,1885.189,1041637.344,8737849.000
27,H2BRFP:0004-0572-0392,440.480,1297.864,571683.532,4795608.000
28,H2BRFP:0004-0555-0510,362.994,1099.857,399241.412,3349065.000
29,H2BRFP:0004-0574-0485,330.330,521.964,172420.663,1446363.000
30,PMGFP:background,7.272,47.590,346.066,2903.000
31,PMGFP:0004-0145-0253,312.807,5093.987,1593432.508,13366622.000
32,PMGFP:0004-0343-0120,524.285,7892.646,4137993.859,34711856.000
