 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,5.126,53.023,271.798,2280.000
2,H2BRFP:0004-0607-0040,160.218,2234.502,358007.453,3003171.000
3,H2BRFP:0004-0651-0058,180.722,2178.284,393664.062,3302279.000
4,H2BRFP:0004-0680-0251,251.056,2388.090,599543.939,5029317.000
5,H2BRFP:0004-0555-0259,385.048,1641.343,631995.353,5301538.000
6,H2BRFP:0004-0703-0376,284.315,2314.449,658033.399,5519960.000
7,H2BRFP:0004-0601-0403,344.159,1676.490,576978.832,4840028.000
8,H2BRFP:0004-0683-0461,663.760,1004.115,666491.454,5590911.000
9,H2BRFP:0004-0967-0388,305.177,1519.627,463755.379,3890245.000
10,H2BRFP:0004-0921-0389,321.628,1346.910,433204.169,3633964.000
11,H2BRFP:0004-0767-0792,223.042,2539.500,566414.101,4751405.000
12,H2BRFP:0004-0811-0875,259.758,1755.073,455894.445,3824303.000
13,H2BRFP:0004-0876-0711,529.411,686.254,363310.144,3047653.000
14,H2BRFP:0004-0884-0627,338.556,1220.958,413362.649,3467522.000
15,H2BRFP:0004-0804-0547,412.704,2399.104,990120.705,8305698.000
16,H2BRFP:0004-0820-0601,185.967,1797.854,334342.040,2804652.000
17,H2BRFP:0004-0781-0595,167.728,2053.941,344503.842,2889895.000
18,H2BRFP:0004-0751-0540,206.591,1053.895,217724.802,1826400.000
19,H2BRFP:0004-0235-0125,248.314,1389.687,345078.910,2894719.000
20,H2BRFP:0004-0298-0237,216.604,2807.861,608194.518,5101883.000
21,H2BRFP:0004-0304-0356,424.864,1229.219,522250.442,4380935.000
22,H2BRFP:0004-0187-0268,261.785,2158.013,564934.946,4738997.000
23,H2BRFP:0004-0135-0791,371.815,2244.721,834621.994,7001286.000
24,H2BRFP:0004-0184-0792,271.441,2518.942,683743.498,5735631.000
25,H2BRFP:0004-0259-0787,207.187,1526.815,316335.756,2653605.000
26,H2BRFP:0004-0214-0793,183.822,2029.533,373071.878,3129540.000
27,H2BRFP:0004-0079-0457,325.562,2207.148,718563.493,6027721.000
28,H2BRFP:0004-0060-0323,297.548,3626.266,1078987.209,9051161.000
29,H2BRFP:0004-0075-0167,330.807,1054.817,348940.951,2927116.000
30,H2BRFP:0004-0125-0185,382.902,1384.371,530078.354,4446600.000
31,PMGFP:background,5.126,63.163,323.774,2716.000
32,PMGFP:0004-0607-0040,160.218,14035.052,2248667.814,18863110.000
33,PMGFP:0004-0651-0058,180.722,16755.097,3028015.913,25400727.000
34,PMGFP:0004-0680-0251,251.056,13268.255,3331073.245,27942945.000
35,PMGFP:0004-0555-0259,385.048,16400.517,6314981.408,52973671.000
36,PMGFP:0004-0703-0376,284.315,17156.295,4877798.991,40917764.000
37,PMGFP:0004-0601-0403,344.159,10697.234,3681546.519,30882915.000
38,PMGFP:0004-0683-0461,663.760,6724.585,4463512.227,37442490.000
39,PMGFP:0004-0967-0388,305.177,11096.230,3386315.549,28406349.000
40,PMGFP:0004-0921-0389,321.628,8200.081,2637376.204,22123818.000
41,PMGFP:0004-0767-0792,223.042,16665.922,3717193.233,31181940.000
42,PMGFP:0004-0811-0875,259.758,10960.138,2846985.441,23882140.000
43,PMGFP:0004-0876-0711,529.411,7486.672,3963524.695,33248309.000
44,PMGFP:0004-0884-0627,338.556,12152.230,4114208.760,34512333.000
45,PMGFP:0004-0804-0547,412.704,13764.826,5680803.681,47653826.000
