 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,28.730,57.739,1658.805,13915.000
2,H2BRFP:0004-0603-0253,795.606,2391.778,1902913.937,15962729.000
3,H2BRFP:0004-0481-0381,643.137,2346.478,1509106.943,12659251.000
4,H2BRFP:0004-0417-0170,440.361,2121.723,934324.194,7837645.000
5,H2BRFP:0004-0398-0209,323.059,1330.003,429669.002,3604309.000
6,H2BRFP:0004-0243-0310,491.025,2531.533,1243046.496,10427384.000
7,H2BRFP:0004-0184-0390,295.283,1454.248,429414.250,3602172.000
8,H2BRFP:0004-0214-0362,222.088,1042.631,231555.644,1942421.000
9,H2BRFP:0003-0627-0676,346.543,542.267,187918.773,1576370.000
10,H2BRFP:0003-0971-0409,172.258,779.901,134344.333,1126957.000
11,H2BRFP:0003-0903-0524,319.721,494.057,157960.274,1325061.000
12,H2BRFP:0003-0940-0539,323.893,551.105,178499.052,1497352.000
13,H2BRFP:0003-0971-0608,373.484,799.150,298470.139,2503738.000
14,H2BRFP:0003-0092-0102,455.501,429.348,195568.466,1640540.000
15,H2BRFP:0003-0110-0050,367.643,452.290,166281.357,1394863.000
16,H2BRFP:0003-0093-0155,282.289,156.044,44049.456,369512.000
17,H2BRFP:0003-0106-0642,257.255,2588.551,665917.101,5586093.000
18,H2BRFP:0003-0250-0571,328.542,1294.072,425157.268,3566462.000
19,H2BRFP:0003-0212-0567,217.319,2821.861,613245.438,5144253.000
20,H2BRFP:0003-0074-0581,296.832,2812.547,834855.049,7003241.000
21,H2BRFP:0003-0034-0664,307.561,2339.699,719600.976,6036424.000
22,H2BRFP:0003-0221-0693,256.063,2152.264,551114.356,4623062.000
23,H2BRFP:0003-0199-0758,316.502,2346.615,742708.606,6230264.000
24,H2BRFP:0003-0374-0927,150.324,4388.583,659707.462,5534003.000
25,H2BRFP:0003-0363-0825,387.909,2956.243,1146752.504,9619615.000
26,H2BRFP:0003-0270-0726,284.196,1826.341,519039.287,4353998.000
27,H2BRFP:0003-0308-0759,365.020,3291.658,1201522.380,10079056.000
28,H2BRFP:0003-0394-0764,359.298,2331.194,837594.252,7026219.000
29,H2BRFP:0003-0457-0843,288.011,1956.233,563416.570,4726260.000
30,H2BRFP:0003-0420-0664,256.540,4357.300,1117819.567,9376909.000
31,H2BRFP:0003-0604-0922,537.279,1603.979,861783.592,7229133.000
32,H2BRFP:0003-0564-0897,276.805,1540.587,426442.469,3577243.000
33,H2BRFP:0003-0550-0965,383.379,2375.213,910606.210,7638685.000
34,H2BRFP:0003-0792-0862,289.799,2094.801,607071.442,5092462.000
35,PMGFP:background,28.730,48.456,1392.132,11678.000
36,PMGFP:0004-0603-0253,795.606,17428.293,13866059.619,116316428.000
37,PMGFP:0004-0481-0381,643.137,20004.923,12865905.263,107926562.000
38,PMGFP:0004-0417-0170,440.361,19235.253,8470456.236,71055025.000
39,PMGFP:0004-0398-0209,323.059,7886.683,2547860.841,21372912.000
40,PMGFP:0004-0243-0310,491.025,16331.868,8019358.913,67270963.000
41,PMGFP:0004-0184-0390,295.283,8477.058,2503128.670,20997673.000
42,PMGFP:0004-0214-0362,222.088,13481.750,2994133.266,25116500.000
