 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,12.875,57.278,737.432,6186
2,H2BRFP:0004-0096-0075,284.435,1740.290,494998.721,4152332
3,H2BRFP:0004-0132-0439,219.108,1652.649,362107.913,3037568
4,H2BRFP:0004-0099-0450,258.089,961.955,248270.171,2082632
5,H2BRFP:0004-0157-0406,276.924,926.915,256685.311,2153223
6,H2BRFP:0004-0093-0372,356.199,2319.625,826247.862,6931039
7,H2BRFP:0004-0125-0337,215.531,3468.616,747595.493,6271258
8,H2BRFP:0004-0143-0600,209.928,1431.476,300507.673,2520830
9,H2BRFP:0004-0170-0593,211.121,1722.531,363661.813,3050603
10,H2BRFP:0004-0263-0561,472.309,3841.119,1814196.206,15218514
11,H2BRFP:0004-0293-0627,260.354,1120.345,291686.504,2446833
12,H2BRFP:0004-0326-0616,269.653,1796.503,484431.605,4063689
13,H2BRFP:0004-0362-0613,208.736,1407.371,293769.576,2464307
14,H2BRFP:0004-0337-0453,358.464,939.248,336686.659,2824320
15,H2BRFP:0004-0363-0520,453.355,740.796,335843.369,2817246
16,H2BRFP:0004-0479-0464,298.859,1284.097,383763.925,3219231
17,H2BRFP:0004-0461-0505,271.322,1284.917,348625.641,2924471
18,H2BRFP:0004-0499-0591,335.099,1239.470,415344.989,3484151
19,H2BRFP:0004-0458-0617,702.503,2422.726,1701973.281,14277124
20,H2BRFP:0004-0613-0670,302.316,1233.546,372920.720,3128272
21,H2BRFP:0004-0644-0622,199.080,1938.696,385956.313,3237622
22,H2BRFP:0004-0629-0575,238.062,3489.662,830756.020,6968856
23,H2BRFP:0004-0610-0529,304.581,997.467,303809.546,2548528
24,H2BRFP:0004-0601-0367,356.795,2521.136,899528.638,7545760
25,H2BRFP:0004-0280-0085,507.834,934.527,474584.517,3981086
26,H2BRFP:0004-0626-0235,375.392,1567.568,588452.181,4936273
27,H2BRFP:0004-0726-0322,378.849,800.889,303415.915,2545226
28,H2BRFP:0004-0663-0363,266.553,1859.199,495575.339,4157169
29,H2BRFP:0004-0643-0399,212.670,2115.035,449805.089,3773222.000
30,H2BRFP:0004-0480-0071,522.377,2036.082,1063603.302,8922112
31,H2BRFP:0004-0408-0112,457.646,301.840,138135.801,1158762
32,H2BRFP:0004-0424-0162,285.031,354.900,101157.394,848566
33,H2BRFP:0004-0535-0206,466.349,752.175,350776.067,2942510
34,H2BRFP:0004-0782-0384,237.347,496.960,117951.911,989448
35,H2BRFP:0004-0790-0421,302.197,2318.937,700775.481,5878505
36,H2BRFP:0004-0895-0520,255.109,985.212,251336.367,2108353
37,H2BRFP:0004-0857-0517,198.484,1433.330,284493.503,2386494
38,H2BRFP:0004-0166-0345,317.933,2096.676,666601.723,5591836
39,H2BRFP:0004-0762-0154,402.333,613.311,246755.253,2069924.000
40,PMGFP:background,12.875,48.472,624.063,5235
41,PMGFP:0004-0096-0075,284.435,5161.808,1468196.877,12316074
42,PMGFP:0004-0132-0439,219.108,8019.888,1757218.804,14740555
43,PMGFP:0004-0099-0450,258.089,4945.333,1276337.386,10706647
44,PMGFP:0004-0157-0406,276.924,3331.279,922512.409,7738561
45,PMGFP:0004-0093-0372,356.199,10414.623,3709677.531,31118894.000
46,PMGFP:0004-0125-0337,215.531,7155.790,1542296.982,12937668
47,PMGFP:0004-0143-0600,209.928,5199.175,1091455.006,9155748
48,PMGFP:0004-0170-0593,211.121,4748.098,1002421.131,8408881
49,PMGFP:0004-0263-0561,472.309,12794.975,6043185.538,50693692
50,PMGFP:0004-0293-0627,260.354,6684.772,1740408.551,14599541
51,PMGFP:0004-0326-0616,269.653,3968.085,1070004.511,8975809
52,PMGFP:0004-0362-0613,208.736,10213.481,2131925.167,17883806
53,PMGFP:0004-0337-0453,358.464,2825.158,1012717.282,8495251
54,PMGFP:0004-0363-0520,453.355,3207.406,1454093.283,12197765
55,PMGFP:0004-0479-0464,298.859,4121.862,1231855.436,10333507
56,PMGFP:0004-0461-0505,271.322,1900.342,515603.779,4325179
57,PMGFP:0004-0499-0591,335.099,2349.035,787158.726,6603137.000
58,PMGFP:0004-0458-0617,702.503,5331.296,3745253.912,31417329
59,PMGFP:0004-0613-0670,302.316,5160.207,1560013.706,13086286
60,PMGFP:0004-0644-0622,199.080,6492.537,1292536.807,10842537
61,PMGFP:0004-0629-0575,238.062,16084.199,3829036.595,32120146
62,PMGFP:0004-0610-0529,304.581,3727.820,1135423.281,9524579
63,PMGFP:0004-0601-0367,356.795,5694.634,2031816.700,17044039
