,Area,Mean,Image,Date,Treatment,Explant,FOV,Channel,ROI,ROI_ID
21,329.138,4512.712,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0526-0740,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0526-0740
22,574.472,3581.413,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0610-0795,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0610-0795
23,673.535,2542.489,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0514-0312,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0514-0312
24,611.07,1977.613,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0466-0367,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0466-0367
25,518.92,2286.123,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0336-0426,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0336-0426
26,564.697,3533.062,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0504-0504,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0504-0504
27,533.345,3278.677,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0464-0456,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0464-0456
28,461.819,3342.303,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0770-0313,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0770-0313
29,511.291,2997.996,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity,20221001,nSMase2FLAG,Explant1,FOV2,Ceramide,0004-0114-0326,20221001_nSMase2FLAG_Explant1_RFP;TPMT;PMGFP;Cer_FOV2_Intensity_0004-0114-0326
27,244.499,1092.647,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity,20221001,H2BRFP,Explant1,FOV3,Ceramide,0004-0974-0168,20221001_H2BRFP_Explant1_RFP;TPMT;PMGFP;Cer_FOV3_Intensity_0004-0974-0168
