Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control Side,Experimental Side
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb2_8ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_2,8,1,Complete Channel,No Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb3_9ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_3,9,1,Complete Channel,Incomplete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb3_9ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_3,9,2,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb3_9ss_sec3.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_3,9,3,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb4_9ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_4,9,1,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb4_9ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_4,9,2,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb4_9ss_sec3.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_4,9,3,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb4_8ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_4,8,1,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb4_8ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_4,8,2,Complete Channel,Incomplete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb4_8ss_sec3.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_4,8,3,Complete Channel,Incomplete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb5_8ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_5,8,1,Complete Channel,Incomplete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb5_8ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_5,8,2,Incomplete Channel,No Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb7_8ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_7,8,1,Complete Channel,Complete Channel
20210824,20210824_pCISMPD3FLAG_BRE_TCFLef,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP;Laminin_Emb7_8ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,TCF_7,8,2,Complete Channel,Incomplete Channel
20210830,20210830_pCISMPD3FLAG_BRE_TCFLef,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb1_9ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_1,9,1,Complete Channel,Complete Channel
20210830,20210830_pCISMPD3FLAG_BRE_TCFLef,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb1_9ss_sec2.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_1,9,2,No Channel,Incomplete Channel
20210830,20210830_pCISMPD3FLAG_BRE_TCFLef,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP;Laminin_Emb3_8ss_sec1.czi,SMPD3-FLAG,OE,3 µg/µl,BRE_3,8,1,Complete Channel,Complete Channel
