 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,16.232,8.708,141.344,2743.000
2,H2BRFP:background,27.671,8.343,230.850,4480.000
3,H2BRFP:background,23.188,8.527,197.717,3837.000
4,H2BRFP:Cntl,5384.884,109.806,591290.380,11474905.000
5,H2BRFP:Expt,3400.450,122.950,418086.261,8113611.000
6,Snai2:background,16.232,28.321,459.690,8921.000
7,Snai2:background,27.671,26.415,730.939,14185.000
8,Snai2:background,23.188,26.973,625.459,12138.000
9,Snai2:Cntl,5384.884,243.507,1311257.999,25446991.000
10,Snai2:Expt,3400.450,238.028,809403.568,15707729.000
