 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,18.550,8.767,162.626,3156.000
2,H2BRFP:background,18.396,9.098,167.366,3248.000
3,H2BRFP:background,19.014,8.306,157.936,3065.000
4,H2BRFP:Cntl,2091.717,77.329,161750.613,3139021.000
5,H2BRFP:Expt,3720.291,61.597,229158.068,4447167.000
6,Snai2:background,18.550,29.381,545.022,10577.000
7,Snai2:background,18.396,30.098,553.679,10745.000
8,Snai2:background,19.014,29.019,551.773,10708.000
9,Snai2:Cntl,2091.717,383.297,801748.419,15559169.000
10,Snai2:Expt,3720.291,346.225,1288057.119,24996742.000
