 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,14.686,12.533,184.062,3572
2,H2BRFP:background,14.067,12.967,182.413,3540
3,H2BRFP:background,19.169,12.444,238.528,4629
4,H2BRFP:Cntl,4241.249,77.727,329661.209,6397586
5,H2BRFP:Expt,3734.977,113.455,423750.844,8223541
6,TCFLefH2Bd2EGFP:background,14.686,7.060,103.676,2012
7,TCFLefH2Bd2EGFP:background,14.067,6.179,86.929,1687
8,TCFLefH2Bd2EGFP:background,19.169,7.040,134.954,2619
9,TCFLefH2Bd2EGFP:Cntl,4241.249,65.689,278604.009,5406742
10,TCFLefH2Bd2EGFP:Expt,3734.977,66.875,249775.800,4847286
