 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,2.303,129.718,298.681,22960.000
2,C1-ActiveImage:0003-0702-1878,345.109,213.373,73637.013,5660580.000
3,C1-ActiveImage:0003-0552-2277,365.520,571.717,208973.582,16064091.000
4,C1-ActiveImage:0003-0460-1944,437.874,306.087,134027.630,10302891.000
5,C1-ActiveImage:0003-0675-1587,316.347,400.073,126561.745,9728978.000
6,C1-ActiveImage:0003-0991-1369,376.837,339.131,127797.276,9823955.000
7,C1-ActiveImage:0003-1066-1915,558.894,437.521,244527.951,18797205.000
8,C1-ActiveImage:0003-1170-2314,390.184,324.516,126621.038,9733536.000
9,C1-ActiveImage:0003-2151-1525,472.959,293.014,138583.329,10653094.000
10,C1-ActiveImage:0003-1714-1314,663.680,328.131,217773.969,16740589.000
11,C1-ActiveImage:0003-2203-1156,778.378,283.068,220334.193,16937397.000
12,C1-ActiveImage:0003-1702-0279,406.575,334.610,136044.192,10457907.000
13,C1-ActiveImage:0003-1347-1185,341.050,244.979,83550.050,6422609.000
14,C1-ActiveImage:0003-1146-0642,601.511,241.806,145449.212,11180884.000
15,C1-ActiveImage:0003-0754-1686,380.779,293.307,111685.041,8585385.000
