 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,13.386,122.677,1642.158,126235.000
2,C1-ActiveImage:0003-0871-1912,594.877,288.838,171822.819,13208260.000
3,C1-ActiveImage:0003-1059-1399,665.241,364.365,242390.485,18632895.000
4,C1-ActiveImage:0003-0918-1018,865.016,361.045,312309.822,24007692.000
5,C1-ActiveImage:0003-0778-1150,1288.216,326.226,420249.087,32305134.000
6,C1-ActiveImage:0003-0331-1608,751.255,268.758,201905.934,15520791.000
7,C1-ActiveImage:0003-0391-1870,1357.917,274.299,372475.075,28632679.000
8,C1-ActiveImage:0003-1656-1881,890.773,344.930,307254.300,23619067.000
9,C1-ActiveImage:0003-1867-1795,752.152,242.723,182564.968,14034024.000
10,C1-ActiveImage:0003-1731-1345,1318.657,272.385,359182.432,27610855.000
11,C1-ActiveImage:0003-1624-0714,511.400,580.314,296772.547,22813320.000
12,C1-ActiveImage:0003-0426-0697,1152.444,305.765,352377.560,27087755.000
13,C1-ActiveImage:0003-0841-0673,433.815,328.293,142418.774,10947930.000
14,C1-ActiveImage:0003-1857-2125,472.373,655.499,309640.103,23802467.000
15,C1-ActiveImage:0003-2250-1258,705.204,213.261,150392.546,11560885.000
16,C1-ActiveImage:0003-2014-2155,405.287,219.739,89057.534,6845977.000
17,C1-ActiveImage:0003-0681-2336,2796.970,319.044,892356.735,68596708.000
18,C1-ActiveImage:0003-0126-0813,1326.306,453.298,601212.315,46216030.000
