 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,6.127,75.856,464.776,35728
2,C1-ActiveImage:0003-0997-2344,1023.736,151.484,155079.921,11921210
3,C1-ActiveImage:0003-0840-1596,838.673,426.185,357430.428,27476176
4,C1-ActiveImage:0003-0778-1342,1174.767,440.588,517587.933,39787707
5,C1-ActiveImage:0003-1123-0966,526.698,198.011,104291.771,8017054
6,C1-ActiveImage:0003-1504-1716,973.977,128.067,124734.121,9588486
7,C1-ActiveImage:0003-1423-1420,595.384,218.436,130053.342,9997382
8,C1-ActiveImage:0003-1579-1395,749.967,330.302,247715.678,19042250
9,C1-ActiveImage:0003-1611-1125,1106.784,219.065,242457.480,18638045
10,C1-ActiveImage:0003-2269-1183,997.276,245.545,244876.221,18823977
11,C1-ActiveImage:0003-2007-0979,738.948,181.826,134360.107,10328449
12,C1-ActiveImage:0003-1990-0682,1070.060,158.635,169748.680,13048818
13,C1-ActiveImage:0003-2266-0895,581.725,246.737,143533.246,11033601
14,C1-ActiveImage:0003-2436-1066,785.520,252.500,198343.685,15246956
15,C1-ActiveImage:0003-0657-0772,1208.213,222.173,268431.966,20634740
