 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,13.152,123.673,1626.522,125033.000
2,C1-ActiveImage:0003-1113-1605,769.363,882.990,679340.114,52221823.000
3,C1-ActiveImage:0003-1021-1738,439.474,352.554,154938.268,11910321.000
4,C1-ActiveImage:0003-0573-2202,606.389,341.612,207149.978,15923908.000
5,C1-ActiveImage:0003-0297-1854,1118.413,259.379,290092.988,22299853.000
6,C1-ActiveImage:0003-0708-1567,673.358,482.056,324596.316,24952172.000
7,C1-ActiveImage:0003-0565-1542,524.629,482.489,253127.743,19458283.000
8,C1-ActiveImage:0003-0831-1321,775.100,270.464,209636.507,16115051.000
9,C1-ActiveImage:0003-0867-1621,563.343,231.337,130322.376,10018063.000
10,C1-ActiveImage:0003-1692-1060,1171.255,317.923,372369.145,28624536.000
11,C1-ActiveImage:0003-1129-2073,1035.288,573.758,594004.315,45661941.000
12,C1-ActiveImage:0003-0999-2248,876.919,265.334,232676.183,17886143.000
13,C1-ActiveImage:0003-0928-2416,1234.868,343.539,424224.935,32610763.000
14,C1-ActiveImage:0003-1422-1698,931.517,334.957,312018.296,23985282.000
15,C1-ActiveImage:0003-2332-1365,693.041,205.916,142708.167,10970176.000
16,C1-ActiveImage:0003-2109-1308,1307.183,352.552,460850.470,35426219.000
