 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,6.517,132.301,862.258,66283
2,C1-ActiveImage:0003-0636-1876,2275.775,202.720,461345.335,35464260
3,C1-ActiveImage:0003-0834-2199,1129.224,412.251,465523.092,35785410
4,C1-ActiveImage:0003-1593-1078,804.174,167.898,135019.585,10379144
5,C1-ActiveImage:0003-1135-1047,518.658,375.248,194625.436,14961129
6,C1-ActiveImage:0003-1365-0900,896.666,414.539,371703.227,28573346
7,C1-ActiveImage:0003-1768-0957,894.286,549.851,491723.670,37799485
8,C1-ActiveImage:0003-1735-0454,567.714,254.345,144395.101,11099853
9,C1-ActiveImage:0003-2419-0973,1873.337,260.350,487723.261,37491968
10,C1-ActiveImage:0003-0424-0663,629.688,312.801,196966.983,15141127
11,C1-ActiveImage:0003-0363-0451,508.199,400.890,203731.958,15661160
