 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,8.586,124.714,1070.762,82311
2,C1-ActiveImage:0003-0762-2134,903.964,376.510,340351.956,26163330
3,C1-ActiveImage:0003-0826-1723,1060.030,1081.169,1146072.213,88100171
4,C1-ActiveImage:0003-0669-1575,776.895,492.577,382680.743,29417203
5,C1-ActiveImage:0003-0252-0690,642.020,208.804,134056.444,10305106
6,C1-ActiveImage:0003-1887-1083,906.930,540.958,490611.488,37713990
7,C1-ActiveImage:0003-1798-0901,724.639,756.995,548547.745,42167631
8,C1-ActiveImage:0003-1560-1134,819.277,403.076,330231.026,25385320
9,C1-ActiveImage:0003-1747-1495,1326.501,254.490,337581.341,25950349
10,C1-ActiveImage:0003-2127-2164,1024.009,841.486,861688.917,66239230
11,C1-ActiveImage:0003-1846-2059,1043.249,665.273,694045.766,53352267
12,C1-ActiveImage:0003-1227-1314,483.379,266.756,128944.113,9912114
13,C1-ActiveImage:0003-1177-1533,605.258,1198.879,725630.740,55780248
14,C1-ActiveImage:0003-1347-1767,736.425,405.454,298586.369,22952751
15,C1-ActiveImage:0003-1075-0148,452.626,309.727,140190.403,10776632
16,C1-ActiveImage:0003-2344-0913,785.090,347.758,273021.502,20987544
17,C1-ActiveImage:0003-0451-1387,621.414,231.651,143951.425,11065747
