 ,Label,Area,Mean,IntDen,RawIntDen
1,C4-ActiveImage:background,11.366,185.374,2106.902,310686.000
2,C4-ActiveImage:0002-2872-2754,1579.685,1004.524,1586831.054,233995760.000
3,C4-ActiveImage:0002-3014-1854,2612.541,426.274,1113657.189,164221049.000
4,C4-ActiveImage:0002-3268-0928,850.733,670.829,570696.681,84155527.000
5,C4-ActiveImage:0002-3218-0542,824.096,1079.102,889283.133,131134617.000
6,C4-ActiveImage:0002-2260-1270,713.246,418.297,298348.903,43994840.000
7,C4-ActiveImage:0002-2162-1750,778.334,604.716,470671.130,69405655.000
8,C4-ActiveImage:0002-1778-2902,649.799,470.236,305558.916,45058036.000
9,C4-ActiveImage:0002-1672-2512,821.614,792.569,651185.839,96024542.000
10,C4-ActiveImage:0002-2542-3290,1522.300,698.905,1063943.462,156890211.000
11,C4-ActiveImage:0002-2228-3234,1490.197,869.311,1295445.041,191027675.000
12,C4-ActiveImage:0002-2250-2026,817.762,583.034,476783.307,70306963.000
13,C4-ActiveImage:0002-1726-1366,813.001,525.398,427149.390,62987894.000
14,C4-ActiveImage:0002-1554-1644,742.650,653.209,485105.891,71534220.000
15,C4-ActiveImage:0002-1414-3218,586.989,800.544,469910.461,69293486.000
16,C4-ActiveImage:0004-0883-3080,553.224,567.261,313822.210,46276550.000
17,C4-ActiveImage:0004-1123-2939,454.927,510.820,232385.657,34267831.000
18,C4-ActiveImage:0004-0623-2483,643.668,446.062,287115.760,42338389.000
19,C4-ActiveImage:0004-0766-2769,363.927,410.478,149383.720,22028279.000
20,C4-ActiveImage:0004-1459-2303,699.290,773.391,540824.561,79750553.000
21,C4-ActiveImage:0004-1864-2576,229.403,690.978,158512.321,23374392.000
22,C4-ActiveImage:0004-1966-3376,539.315,321.809,173556.430,25592812.000
23,C4-ActiveImage:0004-1112-3388,650.816,618.571,402575.632,59364222.000
24,C4-ActiveImage:0004-2030-2698,439.465,247.277,108669.509,16024519.000
25,C4-ActiveImage:0004-1846-2080,407.145,264.766,107797.984,15896003.000
26,C4-ActiveImage:0004-1256-0816,550.518,482.831,265807.074,39196188.000
27,C4-ActiveImage:0004-1484-0460,511.606,523.513,267832.362,39494839.000
28,C4-ActiveImage:0004-0800-0774,342.016,425.639,145575.291,21466684.000
29,C4-ActiveImage:0004-1064-0934,576.600,430.293,248106.582,36586055.000
30,C4-ActiveImage:0004-0764-1786,387.451,684.117,265062.281,39086360.000
31,C4-ActiveImage:0004-0792-1964,403.103,526.939,212410.808,31322319.000
32,C4-ActiveImage:0004-0694-2214,519.907,386.524,200956.691,29633283.000
33,C4-ActiveImage:0004-0392-2202,220.004,622.327,136914.298,20189525.000
34,C4-ActiveImage:0004-0712-1276,737.727,355.462,262234.232,38669333.000
35,C4-ActiveImage:0004-0708-1576,442.137,468.043,206939.302,30515485.000
36,C4-ActiveImage:0004-0450-1676,564.285,519.091,292914.892,43193535.000
37,C4-ActiveImage:0004-0606-0256,538.705,427.616,230358.688,33968932.000
38,C4-ActiveImage:0004-0436-0352,553.706,679.745,376378.754,55501203.000
