 ,Label,Area,Mean,IntDen,RawIntDen
1,C4-ActiveImage:background,10.050,179.023,1799.201,265312.000
2,C4-ActiveImage:0002-1008-0811,777.846,201.924,157065.560,23161051.000
3,C4-ActiveImage:0002-1282-1084,334.665,231.258,77393.913,11412587.000
4,C4-ActiveImage:0002-1278-0723,625.508,253.511,158573.239,23383375.000
5,C4-ActiveImage:0002-1283-0450,778.884,223.256,173890.166,25642025.000
6,C4-ActiveImage:0002-1625-0550,636.738,218.651,139223.301,20530013.000
7,C4-ActiveImage:0002-1628-0369,462.997,260.292,120514.400,17771179.000
8,C4-ActiveImage:0002-1875-0321,509.626,192.400,98051.918,14458838.000
9,C4-ActiveImage:0002-2091-0814,448.247,224.812,100771.274,14859837.000
10,C4-ActiveImage:0002-0653-2173,394.084,248.191,97807.996,14422869.000
11,C4-ActiveImage:0002-0894-2431,448.546,213.680,95845.024,14133407.000
12,C4-ActiveImage:0002-0925-2240,369.745,252.522,93368.763,13768255.000
13,C4-ActiveImage:0002-0959-2907,330.067,218.798,72217.915,10649329.000
14,C4-ActiveImage:0002-0949-2605,447.420,198.452,88791.405,13093273.000
15,C4-ActiveImage:0002-0956-2796,290.531,215.118,62498.412,9216081.000
16,C4-ActiveImage:0002-0751-2900,438.787,351.985,154446.603,22774857.000
17,C4-ActiveImage:0002-1262-2486,487.180,207.555,101116.728,14910778.000
18,C4-ActiveImage:0002-1523-2489,544.184,240.498,130875.049,19298971.000
19,C4-ActiveImage:0002-1640-3068,540.109,208.947,112853.889,16641552.000
20,C4-ActiveImage:0002-1959-2993,498.349,225.978,112615.955,16606466.000
21,C4-ActiveImage:0002-1858-3217,363.615,212.807,77379.923,11410524.000
22,C4-ActiveImage:0002-1841-2733,399.577,212.846,85048.307,12541312.000
23,C4-ActiveImage:0002-1563-2689,388.570,221.554,86089.206,12694804.000
24,C4-ActiveImage:0002-2501-1898,537.159,202.750,108909.200,16059864.000
25,C4-ActiveImage:0002-2474-1566,546.714,208.903,114209.915,16841513.000
26,C4-ActiveImage:0002-2596-1308,471.670,208.966,98562.887,14534186.000
27,C4-ActiveImage:0002-2026-1566,554.899,205.367,113957.692,16804320.000
28,C4-ActiveImage:0002-1970-1987,497.833,214.169,106620.609,15722386.000
