 ,Label,Area,Mean,IntDen,RawIntDen
1,PMEGFP:background,16.954,119.425,2024.765,38216.000
2,PMEGFP:0003-0124-0279,956.063,1524.244,1457272.940,27504985.000
3,PMEGFP:0003-0268-0205,565.372,1566.325,885556.983,16714255.000
4,PMEGFP:0003-0196-0159,894.497,714.138,638795.054,12056800.000
5,PMEGFP:0003-0378-0137,984.938,2021.414,1990967.378,37578086.000
6,PMEGFP:0003-0471-0517,662.754,1035.832,686501.232,12957220.000
7,PMEGFP:0003-0672-0612,364.994,741.694,270713.935,5109532.000
8,PMEGFP:0003-0087-0695,541.160,2099.124,1135960.851,21440449.000
9,PMEGFP:0003-0257-0572,450.560,1469.536,662114.401,12496936.000
10,PMEGFP:0003-0692-0484,712.133,1301.377,926753.722,17491814.000
11,PMEGFP:0003-0880-0486,994.210,4010.895,3987670.815,75264436.000
12,PMEGFP:0003-0526-0728,386.611,467.739,180833.074,3413095.000
13,PMEGFP:0003-0459-0813,308.992,422.341,130500.042,2463095.000
14,PMEGFP:0003-0489-0892,330.556,390.711,129151.593,2437644.000
15,PMEGFP:0003-0331-0966,391.114,479.359,187484.134,3538629.000
16,PMEGFP:0003-0225-0737,471.753,411.579,194163.592,3664699.000
17,PMEGFP:0003-0083-0807,556.524,2691.765,1498032.948,28274301.000
18,Tf633:background,16.954,109.359,1854.110,34995.000
19,Tf633:0003-0124-0279,956.063,583.933,558276.879,10537077.000
20,Tf633:0003-0268-0205,565.372,339.219,191785.065,3619806.000
21,Tf633:0003-0196-0159,894.497,326.496,292049.472,5512225.000
22,Tf633:0003-0378-0137,984.938,378.318,372619.675,7032930.000
23,Tf633:0003-0471-0517,662.754,1093.568,724765.833,13679437.000
24,Tf633:0003-0672-0612,364.994,426.786,155774.324,2940129.000
25,Tf633:0003-0087-0695,541.160,1177.217,637062.273,12024095.000
26,Tf633:0003-0257-0572,450.560,560.704,252630.919,4768228.000
27,Tf633:0003-0692-0484,712.133,2683.372,1910917.459,36067201.000
28,Tf633:0003-0880-0486,994.210,369.299,367161.137,6929904.000
29,Tf633:0003-0526-0728,386.611,1445.000,558652.575,10544168.000
30,Tf633:0003-0459-0813,308.992,466.814,144241.595,2722457.000
31,Tf633:0003-0489-0892,330.556,397.866,131516.822,2482286.000
32,Tf633:0003-0331-0966,391.114,247.126,96654.363,1824282.000
33,Tf633:0003-0225-0737,471.753,1035.012,488269.830,9215744.000
34,Tf633:0003-0083-0807,556.524,812.383,452110.792,8533268.000
