 ,Label,Area,Mean,IntDen,RawIntDen
1,PMEGFP:background,16.477,132.244,2179.049,41128.000
2,PMEGFP:0003-0700-0840,1377.112,483.958,666464.606,12579043.000
3,PMEGFP:0003-0571-0653,1630.366,2542.523,4145244.677,78238530.000
4,PMEGFP:0003-0382-0536,1147.964,388.620,446121.691,8420228.000
5,PMEGFP:0003-0420-0222,735.657,5008.604,3684614.463,69544464.000
6,PMEGFP:0003-0531-0207,623.865,505.080,315101.417,5947314.000
7,PMEGFP:0003-0443-0104,814.071,1754.679,1428432.378,26960640.000
8,PMEGFP:0003-0231-0092,589.797,3760.898,2218166.976,41866316.000
9,Tf633:background,16.477,130.277,2146.624,40516.000
10,Tf633:0003-0700-0840,1377.112,160.899,221575.809,4182085.000
11,Tf633:0003-0571-0653,1630.366,484.410,789765.593,14906261.000
12,Tf633:0003-0382-0536,1147.964,180.900,207666.726,3919561.000
13,Tf633:0003-0420-0222,735.657,423.842,311802.061,5885041.000
14,Tf633:0003-0531-0207,623.865,162.595,101437.166,1914554.000
15,Tf633:0003-0443-0104,814.071,206.461,168073.597,3172269.000
16,Tf633:0003-0231-0092,589.797,152.356,89858.979,1696024.000
