 ,Label,Area,Mean,IntDen,RawIntDen
1,PMEGFP:background,10.120,138.602,1402.596,26473.000
2,PMEGFP:0003-0645-0360,819.422,865.024,708819.746,13378466.000
3,PMEGFP:0003-0671-0602,1238.087,728.200,901574.437,17016573.000
4,PMEGFP:0001-0146-0343,170.020,988.199,168013.251,3171130.000
5,PMEGFP:0001-0128-0303,173.517,1009.342,175137.547,3305596.000
6,PMEGFP:0001-0181-0363,195.557,729.870,142731.234,2693950.000
7,PMEGFP:0001-0223-0151,217.969,682.405,148742.746,2807413.000
8,Tf633:background,10.120,122.482,1239.464,23394.000
9,Tf633:0003-0645-0360,819.422,257.718,211180.025,3985872.000
10,Tf633:0003-0671-0602,1238.087,609.325,754397.737,14238718.000
11,Tf633:0001-0146-0343,170.020,530.996,90279.711,1703965.000
12,Tf633:0001-0128-0303,173.517,830.790,144155.764,2720837.000
13,Tf633:0001-0181-0363,195.557,395.949,77430.535,1461446.000
14,Tf633:0001-0223-0151,217.969,354.919,77361.182,1460137.000
