Date,Treatment,Ceramide,Explant,FOV,ROI,ControlMO_DMSO,SMPD3MO_DMSO,SMPD3MO_C12Cer;10uM,SMPD3MO_C12Cer;50uM
20221022,ControlMO,DMSO,Explant1,FOV1,0003-0125-0206,388577.079042,,,
20221022,ControlMO,DMSO,Explant1,FOV1,0003-0564-0510,516892.17286600004,,,
20221022,ControlMO,DMSO,Explant1,FOV1,0003-0594-0408,186624.44675,,,
20221022,ControlMO,DMSO,Explant1,FOV1,0003-0637-0691,1147422.6002580002,,,
20221022,ControlMO,DMSO,Explant1,FOV1,0003-0744-0464,1194440.334632,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0116-0833,131184.62856,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0162-0726,193661.395992,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0219-0836,40820.293128,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0292-0748,74223.85460800001,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0347-0631,61846.26480000001,,,
20221022,ControlMO,DMSO,Explant1,FOV2,0003-0568-0093,95554.94418399999,,,
20221022,ControlMO,DMSO,Explant1,FOV3,0003-0175-0318,61845.66783200001,,,
20221022,ControlMO,DMSO,Explant1,FOV3,0003-0321-0920,81183.20178399999,,,
20221022,ControlMO,DMSO,Explant1,FOV3,0003-0352-0280,46387.165488,,,
20221022,ControlMO,DMSO,Explant1,FOV3,0003-0354-0542,29524.941712,,,
20221022,ControlMO,DMSO,Explant1,FOV3,0003-0926-0332,13892.013247999996,,,
20221022,ControlMO,DMSO,Explant1,FOV4,0003-0201-0356,258096.245585,,,
20221022,ControlMO,DMSO,Explant1,FOV4,0003-0247-0884,161382.781099,,,
20221022,ControlMO,DMSO,Explant1,FOV4,0003-0274-0380,149227.677449,,,
20221022,ControlMO,DMSO,Explant1,FOV4,0003-0411-0572,127476.063956,,,
20221022,ControlMO,DMSO,Explant1,FOV4,0003-0747-0481,299735.01120199997,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0058-0300,210832.83406199998,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0259-0684,128987.05963200002,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0481-0366,126757.62360199999,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0486-0481,37295.300193999996,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0569-0727,97230.222084,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0571-0616,150137.60685,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0706-0446,262920.25416,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0873-0126,227193.524984,,,
20221022,ControlMO,DMSO,Explant1,FOV5,0003-0956-0288,31314.956419999995,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0002-0184-0146,420874.17515699996,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0156-0877,265448.845927,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0184-0351,299244.09329600004,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0276-0541,251923.690893,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0335-0727,776703.34044,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0417-0623,250603.112714,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0521-0366,190997.04332899998,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0559-0220,1022076.4931700001,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0629-0731,437566.69267400005,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0673-0301,57282.09728800001,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0688-0118,490766.94943800004,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0724-0520,113406.253648,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0733-0887,881871.582252,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0739-0255,58410.62856,,,
20221022,ControlMO,DMSO,Explant2,FOV1,0003-0841-0661,67118.913931,,,
