 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,12.531,147.110,1843.480,42956.000
2,H2BRFP:0003-0078-0881,682.185,2123.137,1448372.705,33749382.000
3,H2BRFP:0003-0280-0742,695.489,1506.368,1047662.823,24412206.000
4,H2BRFP:0003-0441-0539,502.841,2248.351,1130563.831,26343931.000
5,H2BRFP:0003-0345-0516,627.168,5622.520,3526262.200,82167504.000
6,H2BRFP:0003-0633-0546,873.117,4771.633,4166191.629,97078875.000
7,H2BRFP:0003-0673-0716,896.763,1874.597,1681069.306,39171582.000
8,H2BRFP:0003-0656-0258,1844.767,2758.347,5088508.310,118570317.000
9,H2BRFP:0003-0748-0859,745.228,5584.821,4161965.951,96980410.000
10,Dex488:background,12.531,564.771,7077.329,164913.000
11,Dex488:0003-0078-0881,682.185,922.829,629540.308,14669288.000
12,Dex488:0003-0280-0742,695.489,926.246,644194.117,15010745.000
13,Dex488:0003-0441-0539,502.841,1167.308,586970.675,13677348.000
14,Dex488:0003-0345-0516,627.168,1448.422,908403.208,21167236.000
15,Dex488:0003-0633-0546,873.117,1134.083,990186.265,23072911.000
16,Dex488:0003-0673-0716,896.763,963.204,863765.560,20127108.000
17,Dex488:0003-0656-0258,1844.767,1080.541,1993346.840,46448144.000
18,Dex488:0003-0748-0859,745.228,1307.138,974116.244,22698454.000
