 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,5.708,144.887,826.982,19270.000
2,H2BRFP:0003-0584-0669,990.319,943.829,934692.061,21779808.000
3,H2BRFP:0003-0427-0778,1221.762,912.966,1115427.222,25991224.000
4,H2BRFP:0003-0416-0899,1128.936,885.308,999455.763,23288905.000
5,H2BRFP:0003-0263-0851,889.682,1785.289,1588339.655,37010834.000
6,H2BRFP:0003-0835-0201,1095.333,334.093,365943.021,8527053.000
7,H2BRFP:0003-0652-0260,1163.912,1216.433,1415820.630,32990867.000
8,H2BRFP:0003-0552-0104,867.881,2569.457,2229982.744,51962136.000
9,H2BRFP:0003-0383-0598,1030.102,2722.016,2803952.372,65336539.000
10,H2BRFP:0003-0254-0589,1079.025,5028.811,5426214.026,126439396.000
11,Dex488:background,5.708,463.120,2643.382,61595.000
12,Dex488:0003-0584-0669,990.319,1083.270,1072782.787,24997541.000
13,Dex488:0003-0427-0778,1221.762,1254.784,1533047.239,35722433.000
14,Dex488:0003-0416-0899,1128.936,1230.556,1389218.965,32371006.000
15,Dex488:0003-0263-0851,889.682,1460.697,1299555.843,30281713.000
16,Dex488:0003-0835-0201,1095.333,878.247,961973.379,22415506.000
17,Dex488:0003-0652-0260,1163.912,848.559,987647.897,23013763.000
18,Dex488:0003-0552-0104,867.881,1220.266,1059045.096,24677431.000
19,Dex488:0003-0383-0598,1030.102,1031.887,1062948.349,24768383.000
20,Dex488:0003-0254-0589,1079.025,1525.347,1645888.182,38351806.000
