Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.781,0.781,0.076,255,199.034
2,10,11.500,1.150,1.371,255,293.243
3,12,12.827,1.069,1.092,255,272.566
4,0,0.000,NaN,0.000,NaN,NaN
5,0,0.000,NaN,0.000,NaN,NaN
6,0,0.000,NaN,0.000,NaN,NaN
7,5,8.625,1.725,1.150,255,439.865
8,9,10.056,1.117,0.909,255,284.913
9,5,6.231,1.246,0.625,255,317.790
10,2,2.342,1.171,0.317,255,298.551
11,0,0.000,NaN,0.000,NaN,NaN
12,3,2.563,0.854,0.441,255,217.831
13,2,2.251,1.125,0.286,255,286.940
14,7,5.230,0.747,0.433,255,190.504
