 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,17.562,69.390,1218.607,93676.000
2,C1-ActiveImage:0003-0421-0999,490.755,626.484,307450.121,23634120.000
3,C1-ActiveImage:0003-0400-1888,1448.224,89.293,129316.176,9940715.000
4,C1-ActiveImage:0003-1395-1960,1452.088,341.889,496452.087,38162965.000
5,C1-ActiveImage:0003-1590-1335,1467.893,195.650,287192.950,22076923.000
6,C1-ActiveImage:0003-0529-1651,649.669,458.073,297595.922,22876614.000
7,C1-ActiveImage:0003-0672-1615,833.912,406.780,339219.051,26076242.000
8,C1-ActiveImage:0003-0952-1153,1643.940,170.042,279538.373,21488505.000
9,C1-ActiveImage:0003-1407-0847,988.001,433.074,427877.945,32891575.000
10,C1-ActiveImage:0003-2448-0946,1693.231,139.363,235973.677,18139626.000
11,C1-ActiveImage:0003-2241-0757,1094.217,270.751,296260.640,22773969.000
