Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,6,4.008,0.668,0.435,255,170.319
2,8,5.829,0.729,0.497,255,185.803
3,12,9.059,0.755,0.363,255,192.498
4,7,11.048,1.578,0.622,255,402.453
5,12,9.531,0.794,0.910,255,202.542
6,5,5.051,1.010,0.883,255,257.613
7,4,2.196,0.549,0.277,255,139.980
8,10,8.882,0.888,0.495,255,226.479
9,0,0.000,NaN,0.000,NaN,NaN
10,14,10.329,0.738,1.061,255,188.134
11,1,4.805,4.805,0.952,255,1225.294
12,5,3.712,0.742,0.523,255,189.318
13,3,2.826,0.942,0.205,255,240.204
14,8,14.031,1.754,1.987,255,447.245
15,14,8.104,0.579,0.483,255,147.602
