Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.637,0.637,0.185,255,162.544
2,3,2.836,0.945,0.776,255,241.052
3,0,0.000,NaN,0.000,NaN,NaN
4,6,6.075,1.013,1.920,255,258.191
5,2,4.293,2.146,1.139,255,547.343
6,8,9.314,1.164,1.667,255,296.892
7,3,2.524,0.841,0.647,255,214.514
8,3,2.511,0.837,0.531,255,213.408
9,4,4.163,1.041,0.627,255,265.378
10,1,0.950,0.950,0.122,255,242.158
11,0,0.000,NaN,0.000,NaN,NaN
12,2,0.650,0.325,0.191,255,82.931
13,2,1.379,0.689,0.229,255,175.813
14,1,1.366,1.366,0.359,255,348.309
