Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,0.702,0.351,0.058,255,89.565
2,5,3.031,0.606,0.243,255,154.583
3,1,1.886,1.886,0.149,255,480.998
4,0,0.000,NaN,0.000,NaN,NaN
5,3,6.088,2.029,0.423,255,517.488
6,7,8.781,1.254,1.207,255,319.876
7,4,6.843,1.711,0.916,255,436.216
8,7,8.547,1.221,0.522,255,311.346
9,9,5.724,0.636,0.841,255,162.176
10,7,7.779,1.111,0.890,255,283.386
11,4,3.018,0.755,0.180,255,192.399
12,0,0.000,NaN,0.000,NaN,NaN
13,11,7.766,0.706,1.247,255,180.035
14,1,0.546,0.546,0.053,255,139.324
15,10,11.838,1.184,0.510,255,301.868
16,5,7.337,1.467,0.955,255,374.183
17,0,0.000,NaN,0.000,NaN,NaN
18,6,8.130,1.355,1.401,255,345.545
