Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,3,1.899,0.633,0.253,255,161.438
2,0,0.000,NaN,0.000,NaN,NaN
3,3,2.667,0.889,0.549,255,226.677
4,2,0.950,0.475,0.093,255,121.079
5,4,3.812,0.953,0.540,255,242.987
6,6,4.722,0.787,0.536,255,200.692
7,5,5.711,1.142,0.718,255,291.253
8,1,0.768,0.768,0.091,255,195.716
9,0,0.000,NaN,0.000,NaN,NaN
10,6,6.452,1.075,1.990,255,274.224
11,6,11.929,1.988,1.255,255,506.983
12,4,4.150,1.037,0.878,255,264.549
13,6,4.293,0.715,0.711,255,182.448
14,3,5.438,1.813,0.999,255,462.201
15,10,17.848,1.785,2.843,255,455.124
16,0,0.000,NaN,0.000,NaN,NaN
17,7,8.000,1.143,1.119,255,291.442
18,9,5.373,0.597,0.487,255,152.224
19,8,6.921,0.865,1.128,255,220.596
