 ,Label,Area,Mean,IntDen,RawIntDen
1,C1-ActiveImage:background,32.782,128.275,4205.127,323254
2,C1-ActiveImage:0003-1680-1918,1878.020,268.291,503855.777,38732097
3,C1-ActiveImage:0003-1851-1608,1906.665,307.261,585844.648,45034696
4,C1-ActiveImage:0003-1941-1203,1846.604,337.188,622651.928,47864123
5,C1-ActiveImage:0003-2031-2328,1208.681,475.677,574941.854,44196583
6,C1-ActiveImage:0003-1183-1908,725.771,615.724,446874.166,34351841
7,C1-ActiveImage:0003-1083-1486,1120.911,601.811,674576.639,51855648
8,C1-ActiveImage:0003-1339-1267,804.955,497.806,400711.481,30803251
9,C1-ActiveImage:0003-2071-0270,2353.944,361.951,852012.079,65495358
10,C1-ActiveImage:0003-1848-0738,1367.479,357.468,488829.238,37576986
11,C1-ActiveImage:0003-0274-1707,1188.973,424.294,504473.523,38779584
12,C1-ActiveImage:0003-0229-0402,888.627,340.725,302777.589,23274936
13,C1-ActiveImage:0003-1032-0178,631.327,492.550,310959.996,23903929
14,C1-ActiveImage:0003-1282-0471,689.827,394.562,272179.381,20922809
15,C1-ActiveImage:0003-1329-0873,596.984,1293.716,772327.823,59369918
16,C1-ActiveImage:0003-1611-1056,1514.022,231.507,350506.318,26943910
