Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,4,3.122,0.781,0.202,255,199.034
2,9,10.602,1.178,0.940,255,300.393
3,5,6.413,1.283,0.854,255,327.079
4,9,10.056,1.117,0.801,255,284.913
5,10,8.417,0.842,0.564,255,214.625
6,16,14.791,0.924,1.156,255,235.731
7,4,5.906,1.476,0.533,255,376.505
8,9,7.948,0.883,1.151,255,225.203
9,5,5.711,1.142,0.848,255,291.253
10,8,7.506,0.938,0.532,255,239.255
11,1,0.403,0.403,0.043,255,102.834
12,17,17.250,1.015,0.923,255,258.744
13,18,24.652,1.370,2.534,255,349.230
14,2,0.637,0.319,0.093,255,81.272
15,11,13.087,1.190,1.529,255,303.376
16,9,7.363,0.818,1.368,255,208.617
17,4,4.865,1.216,0.611,255,310.161
18,6,7.155,1.192,1.205,255,304.079
19,12,7.883,0.657,1.132,255,167.520
20,14,12.996,0.928,1.871,255,236.708
