Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,1,0.351,0.351,0.062,255,89.565
3,5,5.516,1.103,0.939,255,281.301
4,1,1.171,1.171,0.283,255,298.551
5,0,0.000,NaN,0.000,NaN,NaN
6,8,6.791,0.849,1.452,255,216.449
7,2,4.800,2.400,0.683,255,612.029
8,5,6.192,1.238,0.899,255,315.800
9,5,3.161,0.632,0.429,255,161.217
10,4,3.851,0.963,0.571,255,245.475
11,2,6.010,3.005,0.762,255,766.280
12,4,3.122,0.781,0.684,255,199.034
13,1,1.145,1.145,0.143,255,291.916
14,1,0.351,0.351,0.085,255,89.565
