 ,Label,Area,Mean,IntDen,RawIntDen
1,C4-ActiveImage:background,17.191,182.876,3143.820,463591
2,C4-ActiveImage:0002-1713-2840,1485.118,256.810,381393.787,56240725
3,C4-ActiveImage:0002-2097-3326,1518.625,243.054,369108.508,54429125
4,C4-ActiveImage:0002-2258-2724,906.890,248.169,225062.265,33187916
5,C4-ActiveImage:0002-1986-2483,441.249,236.409,104315.078,15382410
6,C4-ActiveImage:0002-1698-2402,815.239,250.959,204591.604,30169291
7,C4-ActiveImage:0002-1800-2014,1163.290,242.861,282517.915,41660386
8,C4-ActiveImage:0002-0831-2011,1367.487,226.018,309076.469,45576738
9,C4-ActiveImage:0002-1224-2360,583.761,265.578,155034.169,22861500
10,C4-ActiveImage:0002-1429-1445,949.410,237.833,225800.704,33296807
11,C4-ActiveImage:0002-2735-2169,904.876,233.144,210966.264,31109305
12,C4-ActiveImage:0002-2430-2352,632.506,213.220,134863.146,19887060
13,C4-ActiveImage:0002-2585-2043,537.742,241.416,129819.787,19143361
14,C4-ActiveImage:0002-2733-2570,816.338,223.365,182341.463,26888262
15,C4-ActiveImage:0002-2991-2835,751.378,226.080,169871.518,25049431
16,C4-ActiveImage:0002-0486-0769,1120.018,211.645,237045.939,34955041
17,C4-ActiveImage:0002-0424-0435,1099.206,221.203,243147.170,35854735
18,C4-ActiveImage:0002-0917-1146,971.599,220.928,214653.516,31653031
