Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.963,0.963,0.203,255,245.556
2,0,0.000,NaN,0.000,NaN,NaN
3,0,0.000,NaN,0.000,NaN,NaN
4,1,1.010,1.010,0.304,255,257.661
5,0,0.000,NaN,0.000,NaN,NaN
6,8,5.378,0.672,0.766,255,171.414
7,4,2.529,0.632,0.788,255,161.254
8,3,1.926,0.642,0.474,255,163.704
9,1,0.726,0.726,0.215,255,185.032
10,2,2.319,1.160,0.687,255,295.705
11,2,0.732,0.366,0.191,255,93.381
12,6,6.368,1.061,1.199,255,270.631
13,2,0.583,0.292,0.184,255,74.359
14,1,0.278,0.278,0.052,255,70.900
15,5,3.994,0.799,0.778,255,203.708
16,5,2.319,0.464,0.524,255,118.282
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,3,2.007,0.669,0.476,255,170.621
20,5,2.774,0.555,0.968,255,141.454
21,4,1.539,0.385,0.385,255,98.136
