Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,0,0.000,NaN,0.000,NaN,NaN
3,0,0.000,NaN,0.000,NaN,NaN
4,1,0.651,0.651,0.137,255,166.010
5,0,0.000,NaN,0.000,NaN,NaN
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,0,0.000,NaN,0.000,NaN,NaN
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,0,0.000,NaN,0.000,NaN,NaN
24,0,0.000,NaN,0.000,NaN,NaN
25,0,0.000,NaN,0.000,NaN,NaN
26,0,0.000,NaN,0.000,NaN,NaN
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,0,0.000,NaN,0.000,NaN,NaN
31,0,0.000,NaN,0.000,NaN,NaN
32,0,0.000,NaN,0.000,NaN,NaN
33,0,0.000,NaN,0.000,NaN,NaN
34,1,0.387,0.387,0.093,255,98.568
35,0,0.000,NaN,0.000,NaN,NaN
