 ,Label,Area,Mean,IntDen,RawIntDen
1,C4-ActiveImage:background,26.529,238.548,6328.444,933199
2,C4-ActiveImage:0002-2315-2636,771.580,558.120,430634.196,63501767
3,C4-ActiveImage:0002-2112-2759,571.921,568.983,325413.163,47985764
4,C4-ActiveImage:0002-2343-2966,767.267,396.926,304548.168,44908990
5,C4-ActiveImage:0002-1799-2534,377.022,453.853,171112.266,25232393
6,C4-ActiveImage:0002-1876-2391,433.192,381.731,165363.053,24384608
7,C4-ActiveImage:0002-1669-2705,317.250,591.229,187567.311,27658871
8,C4-ActiveImage:0002-1607-2867,319.122,474.191,151324.504,22314469
9,C4-ActiveImage:0002-2515-2280,434.494,436.364,189597.847,27958296
10,C4-ActiveImage:0002-2489-2090,472.660,475.205,224610.471,33121294
11,C4-ActiveImage:0002-2424-1866,406.317,497.015,201945.712,29779125
12,C4-ActiveImage:0002-2331-1706,269.278,418.309,112641.284,16610201
13,C4-ActiveImage:0002-2075-1715,280.793,436.216,122486.216,18061945
14,C4-ActiveImage:0002-2292-1536,436.976,502.428,219549.060,32374933
15,C4-ActiveImage:0002-2355-0754,479.964,447.639,214850.822,31682126
16,C4-ActiveImage:0002-2319-0544,325.042,600.991,195347.237,28806107
17,C4-ActiveImage:0002-2607-0324,442.510,566.993,250900.127,36997994
18,C4-ActiveImage:0002-2822-0622,559.673,532.004,297748.229,43906264
19,C4-ActiveImage:0002-2111-0577,450.180,463.072,208465.549,30740547
20,C4-ActiveImage:0002-1411-1797,368.416,583.619,215014.574,31706273
21,C4-ActiveImage:0002-1660-1701,448.858,364.633,163668.165,24134678
22,C4-ActiveImage:0002-1448-1593,303.924,476.727,144889.069,21365493
23,C4-ActiveImage:0002-1663-1438,585.348,452.002,264578.668,39015046
24,C4-ActiveImage:0002-1835-1996,325.428,519.779,169150.887,24943166
25,C4-ActiveImage:0002-1616-1929,383.939,531.098,203909.207,30068664
26,C4-ActiveImage:0002-1346-1293,722.306,400.337,289165.990,42640718
27,C4-ActiveImage:0002-0391-0968,435.152,479.690,208738.286,30780765
28,C4-ActiveImage:0002-0838-1075,422.118,519.871,219447.019,32359886
29,C4-ActiveImage:0002-0608-1114,325.889,548.793,178845.929,26372807.000
