,Date,Embryo,Treatment,FOV,ROI,Area,Mean,IntDen,CTCF
0,20210804,Emb1,DMSO;1percent,FOV3,0002-2872-2754,1579.685,1004.5239999999999,1586831.054,1293998.52681
1,20210804,Emb1,DMSO;1percent,FOV3,0002-3014-1854,2612.541,426.274,1113657.189,629360.013666
2,20210804,Emb1,DMSO;1percent,FOV3,0002-3268-0928,850.7330000000001,670.829,570696.681,412992.90185799997
3,20210804,Emb1,DMSO;1percent,FOV3,0002-3218-0542,824.096,1079.1019999999999,889283.1329999999,736517.1610959999
4,20210804,Emb1,DMSO;1percent,FOV3,0002-2260-1270,713.2460000000001,418.29699999999997,298348.903,166131.63899599997
5,20210804,Emb1,DMSO;1percent,FOV3,0002-2162-1750,778.334,604.716,470671.13,326388.24308399996
6,20210804,Emb1,DMSO;1percent,FOV3,0002-1778-2902,649.799,470.236,305558.916,185103.07617400002
7,20210804,Emb1,DMSO;1percent,FOV3,0002-1672-2512,821.6139999999999,792.569,651185.839,498879.96536400006
8,20210804,Emb1,DMSO;1percent,FOV3,0002-2542-3290,1522.3,698.905,1063943.462,781748.6218000001
9,20210804,Emb1,DMSO;1percent,FOV3,0002-2228-3234,1490.1970000000001,869.311,1295445.041,1019201.262322
10,20210804,Emb1,DMSO;1percent,FOV3,0002-2250-2026,817.762,583.034,476783.30700000003,325191.49401200004
11,20210804,Emb1,DMSO;1percent,FOV3,0002-1726-1366,813.0010000000001,525.398,427149.39,276440.142626
12,20210804,Emb1,DMSO;1percent,FOV3,0002-1554-1644,742.65,653.2090000000001,485105.891,347437.88989999995
13,20210804,Emb1,DMSO;1percent,FOV3,0002-1414-3218,586.989,800.544,469910.461,361097.962114
14,20210804,Emb1,DMSO;1percent,FOV3,0004-0883-3080,553.224,567.261,313822.21,211268.86422400002
15,20210804,Emb1,DMSO;1percent,FOV3,0004-1123-2939,454.92699999999996,510.82,232385.657,148054.019302
