Treatment,Target,EmbID,Somites,SectionID,ROI,Area,Mean,IntDen
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec1,Cntl,2569.175,2925.196,7515340.761
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec1,Expt,2371.1620000000003,2536.3379999999997,6014066.999
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec1,background,7.525333333333333,511.91499999999996,3890.6426666666666
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec2,Cntl,1778.156,3291.8509999999997,5853425.134
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec2,Expt,1581.521,2299.651,3636947.6689999998
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec2,background,7.352666666666667,563.8256666666666,3944.2386666666666
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec3,Cntl,2186.935,2072.697,4532854.276000001
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec3,Expt,2346.346,1857.661,4358713.901000001
m3Dyn1KA,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec3,background,8.559666666666667,555.106,4633.637333333333
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec1,Cntl,2809.583,3573.869,10041080.705
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec1,Expt,1938.4279999999999,3271.4629999999997,6341494.312000001
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec1,background,15.625,751.1030000000001,11511.713333333333
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec2,Cntl,2459.3979999999997,3297.35,8109493.367000001
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec2,Expt,1996.6770000000001,2813.2259999999997,5617103.93
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec2,background,16.142333333333333,721.2966666666667,11824.329333333333
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec3,Cntl,2460.087,3173.8309999999997,7807899.466
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec3,Expt,2369.611,2406.188,5701730.057999999
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec3,background,17.520666666666667,736.7866666666667,12829.561
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec4,Cntl,2040.45,3504.349,7150451.194
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec4,Expt,1625.467,1656.128,2691981.329
m3Dyn1KA,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec4,background,8.789,743.8539999999999,6460.277333333334
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec1,Cntl,3676.43,1632.354,6001235.082
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec1,Expt,1853.8110000000001,1965.9189999999999,3644442.0160000003
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec1,background,11.719,730.6546666666667,8603.726666666667
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec2,Cntl,4503.122,1719.5479999999998,7743336.79
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec2,Expt,2744.785,2044.009,5610365.274
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec2,background,28.60766666666667,750.0536666666667,21407.380333333334
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec3,Cntl,5952.118,2020.819,12028153.817
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec3,Expt,3338.135,1698.399,5669485.6
m3Dyn1KA,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec3,background,21.88633333333333,769.3560000000001,16918.045000000002
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec1,Cntl,2360.389,549.886,1297945.4309999999
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec1,Expt,2282.786,341.978,780663.7320000001
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec1,background,23.651666666666667,8.135333333333334,192.80466666666666
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec2,Cntl,2303.192,254.204,585480.0210000001
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec2,Expt,2862.797,190.95,546651.786
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec2,background,11.903,8.290666666666667,98.52333333333333
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec3,Cntl,2403.364,177.387,426325.439
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec3,Expt,2280.777,181.68,414372.412
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec3,background,20.817333333333334,8.091,168.34533333333334
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec4,Cntl,2597.216,159.797,415026.881
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec4,Expt,1526.547,171.15200000000002,261272.075
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec4,background,20.920666666666666,7.978999999999999,169.20399999999998
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,Cntl,1934.8110000000001,305.885,591829.785
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,Expt,2277.994,271.759,619065.644
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,background,13.860999999999999,8.217,113.44999999999999
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,Cntl,2692.2870000000003,278.238,749095.623
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,Expt,2739.127,186.835,511765.107
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,background,12.933666666666667,8.029333333333334,103.84833333333334
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,Cntl,2115.214,393.195,831692.54
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,Expt,2976.4179999999997,187.37900000000002,557718.103
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,background,18.292666666666666,7.958666666666666,144.26433333333333
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,Cntl,2758.1409999999996,312.969,863212.829
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,Expt,2532.599,156.77100000000002,397038.674
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,background,15.097999999999999,8.106666666666667,120.76666666666667
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,Cntl,4138.758,230.167,952605.5440000001
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,Expt,4606.0740000000005,175.858,810016.196
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,background,21.17866666666667,8.007666666666665,169.22133333333332
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,Cntl,2941.327,410.441,1207240.838
