,Target,EmbID,Somites,SectionID,Cntl CTCF,Expt CTCF,CTCF Ratio
0,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec1,6200141.540875,4800233.60377,0.7742135517591043
1,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec2,4850855.141862666,2745245.5368276667,0.5659302239591363
2,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec3,3318873.535890001,3056243.1583240004,0.9208676152538086
3,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec1,7930794.484951,4885535.225916001,0.6160209087735787
4,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec2,6335537.787593334,4176907.4654899994,0.6592822275749809
5,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec3,5995340.16556,3955832.2680133325,0.6598178183011963
6,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec4,5632654.2997,1482871.199182,0.26326330718733776
7,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec1,3315034.3458266673,2289946.357732,0.6907760580564838
8,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec2,4365753.622452667,3551629.2205383335,0.8135203054685983
9,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec3,7448856.120991999,3101271.408939999,0.4163419669498178
10,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,919463.7495220001,773132.290766,0.8408513018244894
11,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,1184392.609864,669587.7337839999,0.5653427150823632
12,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec7,2113366.059464333,731701.7660826667,0.34622575810086037
13,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec8,1079472.66317,208729.46339,0.1933624356702476
14,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec1,607879.6131666667,403127.69055833336,0.6631702755390892
15,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec2,506011.4553326667,527543.2712466667,1.0425520325421178
16,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec3,717893.2548533335,521698.5918,0.7267077497567291
17,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec4,616923.589645,287154.04073500005,0.4654612751965585
18,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec1,753192.6041946667,575494.789724,0.7640738723654014
19,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec2,1074602.1114826666,721710.247744,0.6716069511051219
20,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec3,796549.247306,641520.620631,0.8053747119850775
21,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec4,625519.993145,357765.42597833334,0.571948826414891
22,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec1,1080580.2392499999,670973.40055,0.6209380628834223
23,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec2,1517906.5399360002,602511.79768,0.39693603119030224
24,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec3,1720360.685578,625430.955131,0.36354641231578144
25,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec4,980913.9399473333,394517.92862666666,0.40219423188934283
26,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec5,217557.04942799997,213214.41911433332,0.9800391192789005
