,Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,Image,ROI,Condition,Tissue,ExptDate,Treatment,Dose,Stains,Embryo,Somites,Section
0,0,0,0.0,,0.0,,,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb2_7ss_sec4,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb2,7ss,sec4
1,1,1,21.539,21.539,0.36200000000000004,255.0,5492.476,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb2_7ss_sec4,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb2,7ss,sec4
0,0,1,5.874,5.874,0.204,255.0,1497.9479999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb3_7ss_sec3,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb3,7ss,sec3
1,1,1,21.642,21.642,0.54,255.0,5518.755999999999,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb3_7ss_sec3,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb3,7ss,sec3
0,0,2,15.097999999999999,7.5489999999999995,0.518,255.0,1924.995,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb3_7ss_sec2,Expt_NC,Expt,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb3,7ss,sec2
1,1,1,16.644000000000002,16.644000000000002,0.48700000000000004,255.0,4244.186,20200609_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb3_7ss_sec2,Cntl_NC,Cntl,NC,20200609,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb3,7ss,sec2
0,0,2,14.737,7.369,0.242,255.0,1879.005,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_7ss_sec2,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,7ss,sec2
1,1,2,17.984,8.992,0.33,255.0,2292.9120000000003,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_7ss_sec2,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,7ss,sec2
0,0,7,85.177,12.168,1.401,255.0,3102.8920000000003,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_7ss_sec3,Expt_NC,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,7ss,sec3
1,1,1,9.43,9.43,0.115,255.0,2404.601,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;Casp3;DAPI_Emb4_7ss_sec3,Cntl_NC,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;Casp3;DAPI,Emb4,7ss,sec3
